PAGINA,VISUAL,ACCION
19a0c7f8d6e54b3a9210,309a51a96bc9d090ab43,RESTAURAR_REPORTPAGE
19a0c7f8d6e54b3a9210,40ac169dd89e96270ac9,RESTAURAR_REPORTPAGE
19a0c7f8d6e54b3a9210,84343c674ecddeb910c5,RESTAURAR_REPORTPAGE
19a0c7f8d6e54b3a9210,table_15b8b83ff48292,RESTAURAR_REPORTPAGE
71af1998e2cb472d9799,critical_table,RESTAURAR_REPORTPAGE
71af1998e2cb472d9799,donut_flujo,RESTAURAR_REPORTPAGE
71af1998e2cb472d9799,f07bd2d60e407e2ddd01,RESTAURAR_REPORTPAGE
71af1998e2cb472d9799,kpi_promesa,RESTAURAR_REPORTPAGE
71af1998e2cb472d9799,sla_panel,RESTAURAR_REPORTPAGE
a1b2c3d4e5f6071829,critical_table,RESTAURAR_REPORTPAGE
