PAGINA,VISUAL,DECISION
19a0c7f8d6e54b3a9210,309a51a96bc9d090ab43,TOOLTIP_DESACTIVADO
19a0c7f8d6e54b3a9210,40ac169dd89e96270ac9,TOOLTIP_DESACTIVADO
19a0c7f8d6e54b3a9210,84343c674ecddeb910c5,TOOLTIP_DESACTIVADO
19a0c7f8d6e54b3a9210,table_15b8b83ff48292,TOOLTIP_DESACTIVADO
00 Resumen Ejecutivo Mayorista,critical_table,TOOLTIP_DESACTIVADO
00 Resumen Ejecutivo Mayorista,donut_flujo,TOOLTIP_DESACTIVADO
00 Resumen Ejecutivo Mayorista,f07bd2d60e407e2ddd01,TOOLTIP_DESACTIVADO
00 Resumen Ejecutivo Mayorista,kpi_promesa,TOOLTIP_DESACTIVADO
00 Resumen Ejecutivo Mayorista,sla_panel,TOOLTIP_DESACTIVADO
01 Análisis Fuera SLA,critical_table,TOOLTIP_DESACTIVADO
