PEDIDO,FLUJO,ZONA,FECHA_CREACION,FACTURA,DESPACHO,MANIFIESTO,CIERRE,DIAS_DH,SLA_DH,CUMPLE,RESULTADO_ESPERADO,COINCIDE,OBSERVACION
4190139455,FES,Regiones,26-05-2026 16:16:10,28-05-2026 15:56:36,28-05-2026 16:05:00,28-05-2026 0:00:00,28-05-2026 0:00:00,2,5,TRUE,CERRADO_MANIFIESTO,SI,Clave oficial
1167577,FES,Santiago,30-06-2026 16:50:32,01-07-2026 12:11:39,01-07-2026 12:11:39,02-07-2026 0:00:00,02-07-2026 0:00:00,2,4,TRUE,CERRADO_MANIFIESTO,SI,Clave oficial
1167307,NORMAL,Santiago,23-06-2026 13:21:22,30-06-2026 10:31:18,30-06-2026 11:42:00,,30-06-2026 11:42:00,4,4,TRUE,CERRADO_DESPACHO,SI,Stgo exactamente 4 DH
1168045,NORMAL,Santiago,07-07-2026 15:02:54,10-07-2026 11:19:47,13-07-2026 13:25:00,,13-07-2026 13:25:00,4,4,TRUE,CERRADO_DESPACHO,SI,Stgo 5 DH
1167339,NORMAL,Regiones,24-06-2026 11:44:44,30-06-2026 0:00:00,30-06-2026 12:40:00,,30-06-2026 12:40:00,3,5,TRUE,CERRADO_DESPACHO,SI,Regiones 5 DH
4190139759,NORMAL,Regiones,18-06-2026 12:56:33,18-06-2026 0:00:00,19-06-2026 10:55:00,,19-06-2026 10:55:00,1,5,TRUE,CERRADO_DESPACHO,SI,Regiones 6 DH
1167926,FES,Santiago,01-07-2026 13:33:08,06-07-2026 14:23:35,07-07-2026 16:44:00,07-07-2026 16:44:00,07-07-2026 16:44:00,4,4,TRUE,CERRADO_MANIFIESTO,SI,FES cerrado
4190139760,SALDO,Santiago,18-06-2026 12:56:33,18-06-2026 0:00:00,19-06-2026 10:55:00,,19-06-2026 10:55:00,1,5,TRUE,CERRADO_DESPACHO,SI,SALDO cerrado
1166696,FES + SALDO,Santiago,15-05-2026 9:54:56,18-05-2026 11:19:00,18-05-2026 16:27:00,18-05-2026 16:27:00,18-05-2026 16:27:00,1,4,TRUE,CERRADO_MANIFIESTO,SI,FES+SALDO cerrado
1167581,FES,Santiago,30-06-2026 16:50:32,01-07-2026 12:11:39,01-07-2026 12:11:39,02-07-2026 0:00:00,02-07-2026 0:00:00,2,4,TRUE,CERRADO_MANIFIESTO,SI,Factura y manifiesto mismo dia
1167658,NORMAL,Regiones,30-06-2026 14:23:35,06-07-2026 14:23:35,07-07-2026 16:44:00,,07-07-2026 16:44:00,4,5,TRUE,CERRADO_DESPACHO,SI,Multiples despachos
