source_type,source_object,target_type,target_object,dependency_kind,file,evidence
COLUMN,Bloque_comercial[Estado_Pedido],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,Estado_Pedido
COLUMN,Bloque_comercial[Fecha_pedido],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,Fecha_pedido
COLUMN,Bloque_comercial[Pedido],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,Pedido
COLUMN,Bloque_comercial[Recuento],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,Recuento
COLUMN,Cliente_Vendedor[Recuento],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,Recuento
COLUMN,Cliente_Vendedor[SUCURSAL_NORMALIZADA],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,SUCURSAL_NORMALIZADA
COLUMN,Cliente_Vendedor[VCLT_SUCURSAL],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,VCLT_SUCURSAL
COLUMN,Cliente_Vendedor[VEN_NOMBRE],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,VEN_NOMBRE
TABLE,Config_Promesa_Entrega,TABLE,Fact_Hitos_Operacionales,TABLE_REFERENCE,NS.SemanticModel\definition\tables\Fact_Hitos_Operacionales.tmdl,Config_Promesa_Entrega mencionado en definición de Fact_Hitos_Operacionales
TABLE,Config_Promesa_Entrega,TABLE,Medidas,TABLE_REFERENCE,NS.SemanticModel\definition\tables\Medidas.tmdl,Config_Promesa_Entrega mencionado en definición de Medidas
COLUMN,Config_Promesa_Entrega[Alcance],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,Alcance
COLUMN,Config_Promesa_Entrega[Hora corte lunes a jueves],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,Hora corte lunes a jueves
COLUMN,Config_Promesa_Entrega[Hora corte viernes],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,Hora corte viernes
COLUMN,Config_Promesa_Entrega[Preparación máxima DH],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,Preparación máxima DH
COLUMN,Config_Promesa_Entrega[Preparación mínima DH],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,Preparación mínima DH
COLUMN,Config_Promesa_Entrega[Promesa máxima DH],TABLE_OR_MEASURE_FILE,Medidas,DAX_OR_M_EXPLICIT,NS.SemanticModel\definition\tables\Medidas.tmdl,Config_Promesa_Entrega[Promesa máxima DH]
COLUMN,Config_Promesa_Entrega[Promesa máxima DH],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,Promesa máxima DH
COLUMN,Config_Promesa_Entrega[Promesa mínima DH],TABLE_OR_MEASURE_FILE,Medidas,DAX_OR_M_EXPLICIT,NS.SemanticModel\definition\tables\Medidas.tmdl,Config_Promesa_Entrega[Promesa mínima DH]
COLUMN,Config_Promesa_Entrega[Promesa mínima DH],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,Promesa mínima DH
COLUMN,Config_Promesa_Entrega[Tránsito máximo DH],TABLE_OR_MEASURE_FILE,Medidas,DAX_OR_M_EXPLICIT,NS.SemanticModel\definition\tables\Medidas.tmdl,Config_Promesa_Entrega[Tránsito máximo DH]
COLUMN,Config_Promesa_Entrega[Tránsito máximo DH],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,Tránsito máximo DH
