page_id,visual_id,path,svg_fields,tooltip_before,tooltip_after,changed,status
1770ed4eda3cc316ddd7,277b9d0e888312643c62,NS.Report/definition/pages/1770ed4eda3cc316ddd7/visuals/277b9d0e888312643c62/visual.json,ns_detalle_dark.svg | ns_detalle_hover.svg | ns_detalle_white.svg,AUSENTE/DEFAULT,false,True,OK
19a0c7f8d6e54b3a9210,309a51a96bc9d090ab43,NS.Report/definition/pages/19a0c7f8d6e54b3a9210/visuals/309a51a96bc9d090ab43/visual.json,Medidas.RE KPI Valor SVG | RE KPI Valor SVG,true,false,True,OK
19a0c7f8d6e54b3a9210,40ac169dd89e96270ac9,NS.Report/definition/pages/19a0c7f8d6e54b3a9210/visuals/40ac169dd89e96270ac9/visual.json,Medidas.RE KPI Pedidos SVG | RE KPI Pedidos SVG,true,false,True,OK
19a0c7f8d6e54b3a9210,84343c674ecddeb910c5,NS.Report/definition/pages/19a0c7f8d6e54b3a9210/visuals/84343c674ecddeb910c5/visual.json,Medidas.RE KPI NS SVG | RE KPI NS SVG,true,false,True,OK
19a0c7f8d6e54b3a9210,card_cdce0b90a20e69,NS.Report/definition/pages/19a0c7f8d6e54b3a9210/visuals/card_cdce0b90a20e69/visual.json,Medidas.TR NS ruta SVG | TR NS ruta SVG,AUSENTE/DEFAULT,false,True,OK
19a0c7f8d6e54b3a9210,chart_clasificacion,NS.Report/definition/pages/19a0c7f8d6e54b3a9210/visuals/chart_clasificacion/visual.json,Medidas.TR Clasificación SVG | TR Clasificación SVG,AUSENTE/DEFAULT,false,True,OK
19a0c7f8d6e54b3a9210,dd60148c4db229925749,NS.Report/definition/pages/19a0c7f8d6e54b3a9210/visuals/dd60148c4db229925749/visual.json,Medidas.RE Pedido Seleccionado SVG | RE Pedido Seleccionado SVG,AUSENTE/DEFAULT,false,True,OK
19a0c7f8d6e54b3a9210,nav_cuellos_v34,NS.Report/definition/pages/19a0c7f8d6e54b3a9210/visuals/nav_cuellos_v34/visual.json,ns_cuellos_dark.svg | ns_cuellos_hover.svg | ns_cuellos_white.svg,AUSENTE/DEFAULT,false,True,OK
19a0c7f8d6e54b3a9210,nav_detalle_v34,NS.Report/definition/pages/19a0c7f8d6e54b3a9210/visuals/nav_detalle_v34/visual.json,ns_detalle_dark.svg | ns_detalle_hover.svg | ns_detalle_white.svg,AUSENTE/DEFAULT,false,True,OK
19a0c7f8d6e54b3a9210,nav_resumen_v34,NS.Report/definition/pages/19a0c7f8d6e54b3a9210/visuals/nav_resumen_v34/visual.json,ns_resumen_dark.svg | ns_resumen_hover.svg | ns_resumen_white.svg,AUSENTE/DEFAULT,false,True,OK
19a0c7f8d6e54b3a9210,nav_tracking_v34,NS.Report/definition/pages/19a0c7f8d6e54b3a9210/visuals/nav_tracking_v34/visual.json,ns_tracking_dark.svg | ns_tracking_hover.svg | ns_tracking_white.svg,AUSENTE/DEFAULT,false,True,OK
19a0c7f8d6e54b3a9210,route_40435689d94f81,NS.Report/definition/pages/19a0c7f8d6e54b3a9210/visuals/route_40435689d94f81/visual.json,Medidas.TR Ruta camión SVG | TR Ruta camión SVG,false,false,True,OK
19a0c7f8d6e54b3a9210,table_15b8b83ff48292,NS.Report/definition/pages/19a0c7f8d6e54b3a9210/visuals/table_15b8b83ff48292/visual.json,AUD Semáforo SVG | Medidas.AUD Semáforo SVG,true,false,True,OK
45f3e8a9c0124b67d89a,fes_diag_card,NS.Report/definition/pages/45f3e8a9c0124b67d89a/visuals/fes_diag_card/visual.json,Medidas.RE FES Diagnóstico SVG | RE FES Diagnóstico SVG,AUSENTE/DEFAULT,false,True,OK
65238545e68f4c9884ca,tt_status,NS.Report/definition/pages/65238545e68f4c9884ca/visuals/tt_status/visual.json,Medidas.UI Indicador ejecutivo SVG | UI Indicador ejecutivo SVG,AUSENTE/DEFAULT,false,True,OK
71af1998e2cb472d9799,btn_reset_resumen,NS.Report/definition/pages/71af1998e2cb472d9799/visuals/btn_reset_resumen/visual.json,reset_dark.svg | reset_hover.svg,AUSENTE/DEFAULT,false,True,OK
71af1998e2cb472d9799,chart_mensual_3m_v39,NS.Report/definition/pages/71af1998e2cb472d9799/visuals/chart_mensual_3m_v39/visual.json,Medidas.RE Evolución 3M SVG | RE Evolución 3M SVG,false,false,False,OK
71af1998e2cb472d9799,critical_table,NS.Report/definition/pages/71af1998e2cb472d9799/visuals/critical_table/visual.json,Medidas.RE TT Estado SVG | RE TT Estado SVG,true,false,True,OK
