PAGINA,VISUAL,TIPO_VISUAL,MEDIDA_SVG,DATA_CATEGORY,TOOLTIP_ACTIVO,CAMPO_EN_TOOLTIP,MUESTRA_CODIGO_AL_HOVER,ACCION_REQUERIDA,ESTADO
00 Resumen Ejecutivo Mayorista,chart_mensual_3m_v39,tableEx,M:RE Evolución 3M SVG,Image URL (por definir en PBI),NO,NO (tooltip de pagina),POSIBLE si tooltip default,OK,PENDIENTE
00 Resumen Ejecutivo Mayorista,critical_table,tableEx,M:RE TT Estado SVG,Image URL (por definir en PBI),SI,NO (tooltip de pagina),POSIBLE si tooltip default,DESACTIVAR_TOOLTIP,PENDIENTE
00 Resumen Ejecutivo Mayorista,donut_flujo,tableEx,M:RE Distribución Flujo SVG,Image URL (por definir en PBI),SI,NO (tooltip de pagina),POSIBLE si tooltip default,DESACTIVAR_TOOLTIP,PENDIENTE
00 Resumen Ejecutivo Mayorista,f07bd2d60e407e2ddd01,tableEx,M:RE KPI Pedidos SVG,Image URL (por definir en PBI),SI,NO (tooltip de pagina),POSIBLE si tooltip default,DESACTIVAR_TOOLTIP,PENDIENTE
00 Resumen Ejecutivo Mayorista,kpi_promesa,tableEx,M:RE KPI Promesa SVG,Image URL (por definir en PBI),SI,NO (tooltip de pagina),POSIBLE si tooltip default,DESACTIVAR_TOOLTIP,PENDIENTE
00 Resumen Ejecutivo Mayorista,sla_panel,tableEx,M:RE SLA Panel SVG,Image URL (por definir en PBI),SI,NO (tooltip de pagina),POSIBLE si tooltip default,DESACTIVAR_TOOLTIP,PENDIENTE
00 Resumen Ejecutivo Mayorista,summary_month,tableEx,M:RE Resumen Mes SVG,Image URL (por definir en PBI),NO,NO (tooltip de pagina),POSIBLE si tooltip default,OK,PENDIENTE
01 Análisis Fuera SLA,critical_table,tableEx,M:RE TT Estado SVG,Image URL (por definir en PBI),SI,NO (tooltip de pagina),POSIBLE si tooltip default,DESACTIVAR_TOOLTIP,PENDIENTE
01.1 Auditoría por Pedido,card_4e4fe7d672d840,tableEx,M:AUD Semáforo general SVG,Image URL (por definir en PBI),NO,NO (tooltip de pagina),POSIBLE si tooltip default,OK,PENDIENTE
01.1 Auditoría por Pedido,table_c57572c4abbe4d,tableEx,M:AUD Semáforo SVG,Image URL (por definir en PBI),NO,NO (tooltip de pagina),POSIBLE si tooltip default,OK,PENDIENTE
