PEDIDO,CASO,HISTORICAL_EXPECTED,CURRENT_ACTUAL,STATUS,EVIDENCE,NOTES
4190139455,Clave oficial FES,FES/Regiones/28-05-2026,NORMAL/Regiones/28-05-2026/DH2/True,DISCREPANTE_FLUJO,,Regla pedido posterior C-C no cumple; clasificación actual consistente
1167577,Clave oficial FES,FES/Santiago/02-07-2026,FES/Santiago/02-07-2026/DH2/True,OK,,
1167307,Santiago 4 DH,NORMAL/Santiago/30-06-2026/DH4/SLA4,NORMAL/Santiago/30-06-2026/DH4/True,OK,,
1168045,Santiago 5 DH,NORMAL/13-07-2026/DH5,NORMAL/Santiago/13-07-2026/DH5/False,OK,,
1167339,Regiones 5 DH,NORMAL/02-07-2026/DH5,NORMAL/Regiones/02-07-2026/DH5/True,OK,,
4190139759,Regiones 6 DH,NORMAL/26-06-2026/DH6,NORMAL/Regiones/26-06-2026/DH6/False,OK,,
1167926,FES cerrado,FES/Santiago/08-07-2026,FES/Santiago/08-07-2026/DH5/False,OK,,
4190139760,Multiples facturas,SALDO/30-06-2026/DH7,SALDO/Regiones/30-06-2026/DH7/False,OK,,
1166696,FES+SALDO cerrado,FES+SALDO/05-06-2026/DH6,FES+SALDO/Santiago/05-06-2026/DH6/False,OK,,
1167581,Factura y manifiesto,FES/10-07-2026/DH8,FES/Santiago/10-07-2026/DH8/False,OK,,
1167658,Multiples despachos,FES/20-07-2026/DH12,FES/Regiones/20-07-2026/DH12/False,OK,,
