CASO,SELECCION,TITULO,RE_TT_OK,PEDIDOS,VALOR,PROM_DH,P90_DH,FUERA_SLA
1_Todos,Sin filtro,"PEDIDOS FUERA SLA · 361 PEDIDOS · 11-05-2026 a 03-08-2026 · Universo cerrado",SI,1941,2301549593,3.490984028851108,8,361
2_Normal,Flujo Normal,"PEDIDOS FUERA SLA · 134 PEDIDOS · 11-05-2026 a 03-08-2026 · 1. Flujo Normal",SI,1502,1230274542,2.545272969374168,5,134
3_FES,FES,"PEDIDOS FUERA SLA · 226 PEDIDOS · 13-05-2026 a 29-07-2026 · 2. FES (incluye FES + Saldo)",SI,437,1067918295,6.7345537757437075,14,226
4_Saldo,Saldo,"PEDIDOS FUERA SLA · 1 PEDIDOS · 18-06-2026 a 18-06-2026 · 3. Saldos puros",SI,2,2373938,5,6.6,1
5_NF,Normal+FES,"PEDIDOS FUERA SLA · 360 PEDIDOS · 11-05-2026 a 03-08-2026 · 1. Flujo Normal + 2. FES (incluye FES + Saldo)",SI,1939,2298192837,3.489427539969056,8,360
6_NS,Normal+Saldo,"PEDIDOS FUERA SLA · 135 PEDIDOS · 11-05-2026 a 03-08-2026 · 1. Flujo Normal + 3. Saldos puros",SI,1504,1232648480,2.5488031914893617,5,135
7_FS,FES+Saldo,"PEDIDOS FUERA SLA · 227 PEDIDOS · 13-05-2026 a 29-07-2026 · 2. FES (incluye FES + Saldo) + 3. Saldos puros",SI,439,1070292233,6.7266514806378135,14,227
8_SGO,Santiago,"PEDIDOS FUERA SLA · 149 PEDIDOS · 11-05-2026 a 03-08-2026 · Santiago",SI,946,1157445196,2.877378434916155,6,149
9_REG,Regiones,"PEDIDOS FUERA SLA · 212 PEDIDOS · 11-05-2026 a 29-07-2026 · Regiones",SI,995,1144104397,4.074371859296482,9,212
10_SR,Santiago+Regiones,"PEDIDOS FUERA SLA · 361 PEDIDOS · 11-05-2026 a 03-08-2026 · Regiones + Santiago",SI,1941,2301549593,3.490984028851108,8,361
11_NFS,NF+Santiago,"PEDIDOS FUERA SLA · 149 PEDIDOS · 11-05-2026 a 03-08-2026 · 1. Flujo Normal + 2. FES (incluye FES + Saldo) · Santiago",SI,945,1155900694,2.8761904761904766,6,149
12_NFSR,NF+S+R,"PEDIDOS FUERA SLA · 360 PEDIDOS · 11-05-2026 a 03-08-2026 · 1. Flujo Normal + 2. FES (incluye FES + Saldo) · Regiones + Santiago",SI,1939,2298192837,3.489427539969056,8,360
