INC_ID,PREVIOUS_STATUS,CURRENT_STATUS,SEVERITY,IMPACT_CURRENT,EVIDENCE,REQUIRES_BUSINESS_DECISION,RECOMMENDATION
INC-005,GREEN,GREEN,INFO,Ninguna,,NO,
INC-006,GREEN,GREEN,INFO,Ninguna,,NO,
INC-007A,GREEN,GREEN,INFO,Ninguna,,NO,
INC-007B,RED_STRUCTURAL,GREEN,INFO,Fallback TRP eliminado,,NO,
INC-008,GREEN,GREEN,INFO,Ninguna,,NO,
INC-009,GREEN,GREEN,INFO,Ninguna,,NO,
INC-010,GREEN,GREEN,INFO,Ninguna,,NO,
INC-011,CAUSA_IDENTIFICADA,GREEN,INFO,0 cerrados sin DH,,NO,
INC-012,GREEN,GREEN,INFO,Ninguna,,NO,
INC-013,NECESITA_DATOS,NECESITA_DATOS,ORANGE,Feriados regionales,,SI,
INC-014,GREEN,GREEN,INFO,Ninguna,,NO,
INC-015,CAUSA_VISTA_VBAP_SAP,SQL_PENDIENTE,ORANGE,SQL generado pero no ejecutado (error SSPI),raw/inc015_sql_queries.sql,SI,Ejecutar manualmente contra DMF_VTA_PRD
