INC_ID,PREVIOUS_STATUS,CURRENT_STATUS,SEVERITY,IMPACT_CURRENT,EVIDENCE,REQUIRES_BUSINESS_DECISION,RECOMMENDATION
INC-005,GREEN,GREEN,INFO,Sin regresion,,NO,
INC-006,GREEN,GREEN,INFO,Sin regresion,,NO,
INC-007A,GREEN,GREEN,INFO,Sin regresion,,NO,
INC-007B,GREEN,GREEN,INFO,Sin regresion,,NO,
INC-008,GREEN,GREEN,INFO,Sin regresion,,NO,
INC-009,GREEN,GREEN,INFO,Sin regresion,,NO,
INC-010,GREEN,GREEN,INFO,Sin regresion,,NO,
INC-011,GREEN,GREEN,INFO,Sin regresion,,NO,
INC-012,GREEN,GREEN,INFO,Sin regresion,,NO,
INC-013,NECESITA_DATOS,NECESITA_DATOS,ORANGE,Feriados regionales,,SI,
INC-014,GREEN,GREEN,INFO,Sin regresion,,NO,
INC-015,YV01_EXCLUIDO_DE_VBAP_SAP,SIN_FUENTE_YV01_EN_DMF_VTA_PRD,ORANGE,"0 hits YV01 en 7 candidatos de 33 bases",raw/inc015_yv01_discovery_final.md,SI,Replicar VBAP SAP con AUART=YV01
