INC_ID,PREVIOUS_STATUS,CURRENT_STATUS,SEVERITY,IMPACT_CURRENT,EVIDENCE,REQUIRES_BUSINESS_DECISION,RECOMMENDATION
INC-005,GREEN,GREEN,INFO,,,NO,
INC-006,GREEN,GREEN,INFO,,,NO,
INC-007A,GREEN,GREEN,INFO,,,NO,
INC-007B,GREEN,GREEN,INFO,,,NO,
INC-008,GREEN,GREEN,INFO,,,NO,
INC-009,GREEN,GREEN,INFO,,,NO,
INC-010,GREEN,GREEN,INFO,,,NO,
INC-011,GREEN,GREEN,INFO,,,NO,
INC-012,GREEN,GREEN,INFO,,,NO,
INC-013,NECESITA_DATOS,NECESITA_DATOS,ORANGE,,,SI,
INC-014,GREEN,GREEN,INFO,,,NO,
INC-015,SIN_FUENTE_YV01,SIN_FUENTE_YV01,ORANGE,,,SI,
IN02-001,NUEVO,VBAK_RECUPERABLE,ORANGE,153/154 ZART_000000 recuperables desde VBAK.ERZET,raw/in02_diagnostico.md,NO,Agregar fallback VBAK en Fact_Tracking
