database_name	fecha_desde	fecha_hasta	server_now
DMF_VTA_PRD	2026-05-12	2026-08-12	2026-08-12 10:32:12.873000
---
CANAL	CAUSA_HORA	PEDIDOS
43	ZART_HORA_000000	121
43	ZART_HORA_VALIDA	1111
45	ZART_HORA_000000	33
45	ZART_HORA_VALIDA	268
---
CANAL	PEDIDOS_TOTAL	PEDIDOS_HORA_VALIDA	PEDIDOS_SIN_HORA_VALIDA	COBERTURA_HORA_PCT
43	1232	1111	121	90.18
45	301	268	33	89.04
---
CANAL	CAUSA_ZART	ESTADO_VBAK	PEDIDOS
43	ZART_HORA_000000	SIN_VBAK	1
43	ZART_HORA_000000	VBAK_RECUPERABLE	120
45	ZART_HORA_000000	VBAK_RECUPERABLE	33
---
PEDIDO	CANAL	ZART_FECHA_RAW	ZART_HORA_RAW	ZART_CAUSA	AUART	VBAK_FECHA_RAW	VBAK_HORA_RAW	VBAK_HORA_PARSED	VBAK_CAUSA
1166551	43	May 15 2026  4:03PM	160302	ZART_HORA_000000	ZMAY	15-05-2026	16:03:02	16:03:02	VBAK_HORA_VALIDA
1166552	43	May 15 2026  4:04PM	160430	ZART_HORA_000000	ZMAY	15-05-2026	16:04:30	16:04:30	VBAK_HORA_VALIDA
1166574	43	May 18 2026  2:09PM	140905	ZART_HORA_000000	ZMAY	18-05-2026	14:09:05	14:09:05	VBAK_HORA_VALIDA
1166596	43	May 20 2026  9:07AM	090710	ZART_HORA_000000	ZMAY	20-05-2026	09:07:10	09:07:10	VBAK_HORA_VALIDA
1166599	43	May 20 2026 10:03AM	100329	ZART_HORA_000000	ZMAY	20-05-2026	10:03:29	10:03:29	VBAK_HORA_VALIDA
1166635	43	May 25 2026 12:06PM	120619	ZART_HORA_000000	ZMAY	25-05-2026	12:06:19	12:06:19	VBAK_HORA_VALIDA
1166636	43	May 25 2026 12:09PM	120911	ZART_HORA_000000	ZMAY	25-05-2026	12:09:11	12:09:11	VBAK_HORA_VALIDA
1166646	43	May 26 2026  9:05AM	090528	ZART_HORA_000000	ZMAY	26-05-2026	09:05:28	09:05:28	VBAK_HORA_VALIDA
1166655	43	May 26 2026  3:10PM	151020	ZART_HORA_000000	ZMAY	26-05-2026	15:10:20	15:10:20	VBAK_HORA_VALIDA
1166673	43	May 27 2026  2:12PM	141227	ZART_HORA_000000	ZMAY	27-05-2026	14:12:27	14:12:27	VBAK_HORA_VALIDA
1166678	43	May 27 2026  5:08PM	170817	ZART_HORA_000000	ZMAY	27-05-2026	17:08:17	17:08:17	VBAK_HORA_VALIDA
1166683	43	May 28 2026  1:09AM	010905	ZART_HORA_000000	ZMAY	28-05-2026	01:09:05	01:09:05	VBAK_HORA_VALIDA
1166698	43	May 28 2026  2:02PM	140214	ZART_HORA_000000	ZMAY	28-05-2026	14:02:14	14:02:14	VBAK_HORA_VALIDA
1166705	43	May 28 2026  4:01PM	160120	ZART_HORA_000000	ZMAY	28-05-2026	16:01:20	16:01:20	VBAK_HORA_VALIDA
1166784	43	May 28 2026  5:03PM	170323	ZART_HORA_000000	ZMAY	28-05-2026	17:03:23	17:03:23	VBAK_HORA_VALIDA
1166790	43	May 29 2026  9:01AM	090123	ZART_HORA_000000	ZMAY	29-05-2026	09:01:23	09:01:23	VBAK_HORA_VALIDA
1166791	43	May 29 2026  9:11AM	091125	ZART_HORA_000000	ZMAY	29-05-2026	09:11:25	09:11:25	VBAK_HORA_VALIDA
1166839	43	May 29 2026 12:11PM	121102	ZART_HORA_000000	ZMAY	29-05-2026	12:11:02	12:11:02	VBAK_HORA_VALIDA
1166842	43	May 29 2026  3:04PM	150420	ZART_HORA_000000	ZMAY	29-05-2026	15:04:20	15:04:20	VBAK_HORA_VALIDA
1166843	43	May 29 2026  3:06PM	150623	ZART_HORA_000000	ZMAY	29-05-2026	15:06:23	15:06:23	VBAK_HORA_VALIDA
1167052	43	Jun  3 2026  7:10PM	191014	ZART_HORA_000000	ZMAY	03-06-2026	19:10:14	19:10:14	VBAK_HORA_VALIDA
1167056	43	Jun  4 2026  9:01AM	090114	ZART_HORA_000000	ZMAY	04-06-2026	09:01:14	09:01:14	VBAK_HORA_VALIDA
1167075	43	Jun  5 2026 12:12PM	121223	ZART_HORA_000000	ZMAY	05-06-2026	12:12:23	12:12:23	VBAK_HORA_VALIDA
1167098	43	Jun  8 2026  6:09PM	180912	ZART_HORA_000000	ZMAY	08-06-2026	18:09:12	18:09:12	VBAK_HORA_VALIDA
