INC_ID,PREVIOUS_STATUS,CURRENT_STATUS,SEVERITY,IMPACT_CURRENT,EVIDENCE,REQUIRES_BUSINESS_DECISION,RECOMMENDATION
INC-005,GREEN,GREEN,INFO,,,NO,
INC-006,GREEN,GREEN,INFO,,,NO,
INC-007A,GREEN,GREEN,INFO,,,NO,
INC-007B,GREEN,GREEN,INFO,,,NO,
INC-008,GREEN,GREEN,INFO,,,NO,
INC-009,GREEN,GREEN,INFO,,,NO,
INC-010,GREEN,GREEN,INFO,,,NO,
INC-011,GREEN,GREEN,INFO,,,NO,
INC-012,GREEN,GREEN,INFO,,,NO,
INC-013,CERRADO_REGLA,CERRADO_REGLA,INFO,Regla de negocio: solo feriados nacionales,09_inc_status.csv,NO,
INC-014,GREEN,GREEN,INFO,,,NO,
INC-015,SIN_FUENTE_YV01,SIN_FUENTE_YV01,ORANGE,,,SI,
IN02-002,NUEVO,BUG_CONVERSION_ERZET,RED,ERZET varchar(8) con ':' rompe CONVERT(VARCHAR(6)) -> HORA_VBAK NULL,raw/in02_bug_hora_vbak.md,NO,Corregir a TRY_CONVERT(TIME(0), ERZET)
