INC_ID,PREVIOUS_STATUS,CURRENT_STATUS,SEVERITY,IMPACT_CURRENT,EVIDENCE,REQUIRES_BUSINESS_DECISION,RECOMMENDATION
INC-005,GREEN,GREEN,INFO,,,NO,
INC-006,GREEN,GREEN,INFO,,,NO,
INC-007A,GREEN,GREEN,INFO,,,NO,
INC-007B,GREEN,GREEN,INFO,,,NO,
INC-008,GREEN,GREEN,INFO,,,NO,
INC-009,GREEN,GREEN,INFO,,,NO,
INC-010,GREEN,GREEN,INFO,,,NO,
INC-011,GREEN,GREEN,INFO,,,NO,
INC-012,GREEN,GREEN,INFO,,,NO,
INC-013,CERRADO_REGLA,CERRADO_REGLA,INFO,,,NO,
INC-014,GREEN,GREEN,INFO,,,NO,
INC-015,CAUSA_FILTRO_AEDAT,GREEN,GREEN,99.9% cobertura con semi-join ZART 3M; 2.075 filas; 0.98s,07_live_results.csv,NO,Fix 2205859 validado
IN02-002,FIX_EFBFDA7,GREEN,GREEN,Parser ERZET recupera 153; Sin hora 184->1,07_live_results.csv,NO,Fix efbfda7 validado
