INC_ID,PREVIOUS_STATUS,CURRENT_STATUS,SEVERITY,IMPACT_CURRENT,EVIDENCE,REQUIRES_BUSINESS_DECISION,RECOMMENDATION
INC-005,GREEN,GREEN,INFO,,,NO,
INC-006,GREEN,GREEN,INFO,,,NO,
INC-007A,GREEN,GREEN,INFO,,,NO,
INC-007B,GREEN,GREEN,INFO,,,NO,
INC-008,GREEN,GREEN,INFO,,,NO,
INC-009,GREEN,GREEN,INFO,,,NO,
INC-010,GREEN,GREEN,INFO,,,NO,
INC-011,GREEN,GREEN,INFO,,,NO,
INC-012,GREEN,GREEN,INFO,,,NO,
INC-013,CERRADO_REGLA,CERRADO_REGLA,INFO,,,NO,
INC-014,GREEN,GREEN,INFO,,,NO,
INC-015,GREEN,GREEN,INFO,,,NO,
L01-001,NUEVO,INTERACCION_UX_RED,RED,Seleccion fila tabla 3 arrastra flujo y distorsiona tabla 4,raw/l01_diagnostico.md,SI,Deshabilitar interaccion o filtrar solo vendedor
L01-002,NUEVO,VENDEDOR_AMBIGUO,ORANGE,Vendedor actual difiere 100% de PED_RESPONSABLE,raw/l01_diagnostico.md,SI,Definir semantica vendedor
