columna,consumida,accion
PED_NUMERO_PEDIDO,SI,CONSERVAR
PED_CODIGO_CLIENTE,SI,CONSERVAR
PED_RESPONSABLE,SI,CONSERVAR
PED_CENTRO,SI,CONSERVAR
PED_CIUDAD,SI,CONSERVAR
PED_REGION,SI,CONSERVAR
PED_CONDICION_EXPEDICION_CODIGO,SI,CONSERVAR
PED_CONDICION_EXPEDICION,SI,CONSERVAR
PED_ORDEN_COMPRA_CLIENTE,SI,CONSERVAR
PED_CANAL_CODIGO,SI,CONSERVAR
PED_CANAL,SI,CONSERVAR
PED_VALOR_NETO,SI,CONSERVAR
PED_MONEDA,SI,CONSERVAR
PED_BLOQUEO_ENTREGA,SI,CONSERVAR
PED_ESTADO_CREDITO,SI,CONSERVAR
SERV_TIPO_SERVICIO,SI,CONSERVAR
SERV_TIPO_SERVICIO_PLANIFICADO,SI,CONSERVAR
OTIF_ESTADO_PEDIDO,SI,CONSERVAR
PED_TEXTO_ESTADO,SI,CONSERVAR
CED_CANTIDAD_COPIAS,NO,ELIMINAR
ES_FES,SI,CONSERVAR
ES_SALDO,SI,CONSERVAR
PRIMERA_FECHA_PEDIDO_POSTERIOR,SI,CONSERVAR
ULTIMA_FECHA_PEDIDO_POSTERIOR,SI,CONSERVAR
PRIMERA_FECHA_ENTREGA_POSTERIOR,SI,CONSERVAR
ULTIMA_FECHA_ENTREGA_POSTERIOR,SI,CONSERVAR
PRIMERA_FECHA_MANIFIESTO,SI,CONSERVAR
ULTIMA_FECHA_MANIFIESTO,SI,CONSERVAR
REGLA_CLASIFICACION_FES,NO,ELIMINAR
REGLA_CLASIFICACION_SALDO,NO,ELIMINAR
SEGMENTO_ANALISIS,SI,CONSERVAR
INCLUIR_SLA_NORMAL,SI,CONSERVAR
PDA_P_FECHA_HORA,SI,CONSERVAR
PED_FECHA_HORA,SI,CONSERVAR
COM_P_FECHA_HORA,SI,CONSERVAR
COM_U_FECHA_HORA,SI,CONSERVAR
CRD_P_FECHA_HORA,SI,CONSERVAR
GER_P_FECHA_HORA,NO,ELIMINAR
ENT_P_FECHA_HORA,SI,CONSERVAR
ENT_U_FECHA_HORA,SI,CONSERVAR
PIC_P_FECHA_HORA,SI,CONSERVAR
PIC_U_FECHA_HORA,SI,CONSERVAR
PAC_P_FECHA_HORA,SI,CONSERVAR
PAC_U_FECHA_HORA,SI,CONSERVAR
FAC_P_FECHA_HORA_REAL,SI,CONSERVAR
FAC_U_FECHA_HORA,SI,CONSERVAR
TRP_P_FECHA_HORA,SI,CONSERVAR
TRP_U_FECHA_HORA,SI,CONSERVAR
TSTTO_P_FECHA_HORA,NO,ELIMINAR
TSTTO_U_FECHA_HORA,NO,ELIMINAR
CED_P_FECHA_HORA,NO,ELIMINAR
CED_U_FECHA_HORA,NO,ELIMINAR
FAC_FECHA_OPERATIVA_AJUSTADA,NO,ELIMINAR
FES_FECHA_CIERRE_OPERATIVO_100,NO,ELIMINAR
HRS_COMERCIAL_PDA_SAC,NO,ELIMINAR
DIAS_EQ_COMERCIAL_9_5H,NO,ELIMINAR
DH_COMERCIAL_PDA_SAC,SI,CONSERVAR
DH_CREDITO_COBRANZAS,SI,CONSERVAR
DH_OPERACION_INTERNA,SI,CONSERVAR
DH_CREDITO_A_PRIMERA_ENTREGA,SI,CONSERVAR
