tabla_modelo,necesaria,solo_staging_m,sin_consumo_activo,duplicada,decision_negocio,observacion
Fact_Pedidos_Auditoria,NECESARIA,,,,"Tabla maestra principal. Consumida por 5+ tablas hijas y múltiples medidas."
Fact_Pedidos,NECESARIA,,,,"Versión limpia de la master para consumo directo. 48 columnas."
Fact_Tracking,NECESARIA,,,,"Cartera viva. Consumida por Dim_Pedido y Resultado."
Fact_Hitos_Operacionales,NECESARIA,,,,"Tabla de hitos operacionales. Consumida por medidas de matriz ejecutiva."
Fact_Tiempos_Hitos,NECESARIA,,,,"Tabla de tiempos. Consumida por histogramas y métricas."
Resultado,NECESARIA,,,,"Tabla de ML. Consumida por medidas de predicción."
Lineas_y_unidades_por_pedidos,NECESARIA,,,,"Ya optimizada con semi-join ZART."
Pedidos_Normal_VBAK,NECESARIA,,,"¿Duplicada con Fact_Pedidos?","Puede estar duplicando funcionalidad de Fact_Pedidos. Evaluar si puede eliminarse."
Dim_Cliente,NECESARIA,,,,"Lookup de clientes y vendedores."
Dim_Fecha,NECESARIA,,,,"Calendario. Generada desde Fact_Pedidos."
Dim_Hito,NECESARIA,,,,"Catálogo de métricas. Consumido por hitos y KPIs."
Dim_Pedido,NECESARIA,,,,"Dimensión de pedidos derivada de Fact_Tracking."
Dim_Canal,NECESARIA,,,,"Dimensión de canales."
Dim_Condicion_Expedicion,NECESARIA,,,,"Dimensión de condiciones de expedición."
Dim_Periodo_3M,NECESARIA,,,,"Selector dinámico 3 meses."
Dim_Rango_Entrega,NECESARIA,,,,"Segmentación ejecutiva SLA."
Dim_Vista_Ejecutiva,NECESARIA,,,,"Jerarquía desconectada para matriz."
Dim_Responsable,NECESARIA,,,,"Dimensión de responsables."
Dim_Indicador_Ejecutivo,NECESARIA,,,,"Catálogo de indicadores."
Dim_Mes_Trend,NECESARIA,,,,"Eje de trends."
Dim_Metrica_Auditoria,NECESARIA,,,,"Catálogo de métricas de auditoría."
Dim_Feriados_Chile,NECESARIA,,,,"Calendario de feriados. Consumido por cálculos de DH."
Bloque_comercial,NECESARIA,,,,"API externa de estado de pedidos. Puede optimizarse con filtro por universo."
Cliente_Vendedor,SOLO_STAGING_M,,,"Derivada de Dim_Cliente","Tabla derivada de Dim_Cliente. Solo staging."
Config_Promesa_Entrega,NECESARIA,,,,"Config hardcodeada de SLA zonal."
Config_SLA_Hitos,NECESARIA,,,,"Config hardcodeada de SLA por hito."
auditoria,SOLO_STAGING_M,,,,"Metadata de esquema de Fact_Pedidos_Auditoria. Solo staging."
Parámetro Agrupación SLA,NECESARIA,,,,"Field parameter para matriz."
Parámetro Indicadores SLA,NECESARIA,,,,"Field parameter para matriz."
