PEDIDO,CASO,FLUJO_ESPERADO,ZONA_ESPERADA,CIERRE_ESPERADO,SLA_ESPERADO,CUMPLE_ESPERADO,FUENTE_CIERRE_ESPERADA,ACTIVO
4190139455,Clave oficial FES,FES,Regiones,28-05-2026,5,True,MANIFIESTO,SI
1167577,Clave oficial FES,FES,Santiago,02-07-2026,4,True,MANIFIESTO,SI
1167307,Santiago exactamente 4 DH,NORMAL,Santiago,30-06-2026,4,True,DESPACHO,SI
1168045,Santiago 5 DH,NORMAL,Santiago,13-07-2026,4,False,DESPACHO,SI
1167339,Regiones exactamente 5 DH,NORMAL,Regiones,02-07-2026,5,True,DESPACHO,SI
4190139759,Regiones 6 DH,NORMAL,Regiones,26-06-2026,5,False,DESPACHO,SI
1167926,FES cerrado,FES,Santiago,08-07-2026,4,False,MANIFIESTO,SI
4190139760,Pedido con multiples facturas,SALDO,Regiones,30-06-2026,5,False,DESPACHO,SI
1166696,FES + SALDO cerrado,FES + SALDO,Santiago,05-06-2026,4,False,MANIFIESTO,SI
1167581,Factura y manifiesto mismo dia,FES,Santiago,10-07-2026,4,False,MANIFIESTO,SI
1167926,Primer y ultimo transporte diferentes,FES,,,,,MANIFIESTO,SI
1167658,Pedido con multiples despachos,FES,Regiones,20-07-2026,5,False,DESPACHO,SI
