TIPO_OBJETO,TABLA,NOMBRE,TIPO_DATO,EXPRESION,FORMATO,CARPETA,VISIBLE,LINEAGE_TAG,DEPENDENCIAS,OBSERVACION
TABLA,Fact_Pedidos_Auditoria,Fact_Pedidos_Auditoria,,,,,SI,60de4c02-af37-476f-9d67-4dd35cd7406c,,partition=1
COLUMNA,Fact_Pedidos_Auditoria,PED_NUMERO_PEDIDO,string,,,,SI,87df1d64-8070-4e16-96d0-375f023e007c,,sourceColumn=PED_NUMERO_PEDIDO
COLUMNA,Fact_Pedidos_Auditoria,PED_CODIGO_CLIENTE,string,,,,SI,fe299c65-0c8c-449b-8abc-91920050a88f,,sourceColumn=PED_CODIGO_CLIENTE
COLUMNA,Fact_Pedidos_Auditoria,PED_RESPONSABLE,string,,,,SI,ae85fa31-f68f-4c4f-acfb-26c6d30ecf69,,sourceColumn=PED_RESPONSABLE
COLUMNA,Fact_Pedidos_Auditoria,PED_CENTRO,string,,,,SI,d4fc354e-ed20-41d2-9814-24b3dae0117f,,sourceColumn=PED_CENTRO
COLUMNA,Fact_Pedidos_Auditoria,PED_CIUDAD,string,,,,SI,50b89842-8dde-40ea-9aaa-9ce81cba9ee5,,sourceColumn=PED_CIUDAD
COLUMNA,Fact_Pedidos_Auditoria,PED_REGION,string,,,,SI,ac68d2b4-faa0-4f12-b195-242f9f84def3,,sourceColumn=PED_REGION
COLUMNA,Fact_Pedidos_Auditoria,PED_CONDICION_EXPEDICION_CODIGO,string,,,,SI,490b7b4e-fa21-4a70-820d-343f3212263a,,sourceColumn=PED_CONDICION_EXPEDICION_CODIGO
COLUMNA,Fact_Pedidos_Auditoria,PED_CONDICION_EXPEDICION,string,,,,SI,2040b468-22e2-4bcb-abd9-3b6ccac3ad89,,sourceColumn=PED_CONDICION_EXPEDICION
COLUMNA,Fact_Pedidos_Auditoria,PED_ORDEN_COMPRA_CLIENTE,string,,,,SI,4482d800-3ff1-44c6-b7a3-219f0fd6f272,,sourceColumn=PED_ORDEN_COMPRA_CLIENTE
COLUMNA,Fact_Pedidos_Auditoria,PED_CANAL_CODIGO,string,,,,SI,3f7e4186-dcd7-47f4-bf73-5c93a7dd0f3c,,sourceColumn=PED_CANAL_CODIGO
COLUMNA,Fact_Pedidos_Auditoria,PED_CANAL,string,,,,SI,d6024118-43b8-4074-b054-d68273b3dbda,,sourceColumn=PED_CANAL
COLUMNA,Fact_Pedidos_Auditoria,PED_VALOR_NETO,double,,,,SI,b9810779-c7e7-4aee-b7c4-37f3b73fbaed,,sourceColumn=PED_VALOR_NETO
COLUMNA,Fact_Pedidos_Auditoria,PED_MONEDA,string,,,,SI,373fa968-da8a-4932-a6fa-c583bd7dc58b,,sourceColumn=PED_MONEDA
COLUMNA,Fact_Pedidos_Auditoria,PED_BLOQUEO_ENTREGA,string,,,,SI,9d7acd69-8e6b-419c-b534-7aee34f3fee8,,sourceColumn=PED_BLOQUEO_ENTREGA
COLUMNA,Fact_Pedidos_Auditoria,PED_ESTADO_CREDITO,string,,,,SI,ee9e7b14-e078-4650-b140-f9e2d857ba3b,,sourceColumn=PED_ESTADO_CREDITO
COLUMNA,Fact_Pedidos_Auditoria,SERV_TIPO_SERVICIO,string,,,,SI,8a593753-e13b-44c1-a1cb-3f75065b0cd7,,sourceColumn=SERV_TIPO_SERVICIO
COLUMNA,Fact_Pedidos_Auditoria,SERV_TIPO_SERVICIO_PLANIFICADO,string,,,,SI,f6a84535-17f5-4927-a937-5cf26b90f9a0,,sourceColumn=SERV_TIPO_SERVICIO_PLANIFICADO
COLUMNA,Fact_Pedidos_Auditoria,OTIF_ESTADO_PEDIDO,string,,,,SI,d027be74-1933-4c8e-a08a-b245fc1b9316,,sourceColumn=OTIF_ESTADO_PEDIDO
COLUMNA,Fact_Pedidos_Auditoria,PED_TEXTO_ESTADO,string,,,,SI,0119a0e2-d408-4794-be34-1bb6a0c4dac5,,sourceColumn=PED_TEXTO_ESTADO
COLUMNA,Fact_Pedidos_Auditoria,CED_CANTIDAD_COPIAS,string,,,,SI,ad494fe5-87cd-4a20-a64e-20225abe4154,,sourceColumn=CED_CANTIDAD_COPIAS
COLUMNA,Fact_Pedidos_Auditoria,ES_FES,boolean,,"""""""TRUE"""";""""TRUE"""";""""FALSE""""""",,SI,5234835c-31f4-4ee2-ba23-a81ab1cea447,,sourceColumn=ES_FES
COLUMNA,Fact_Pedidos_Auditoria,ES_SALDO,boolean,,"""""""TRUE"""";""""TRUE"""";""""FALSE""""""",,SI,a2661916-f9db-4452-b8b6-d8c1de95cafc,,sourceColumn=ES_SALDO
COLUMNA,Fact_Pedidos_Auditoria,PRIMERA_FECHA_PEDIDO_POSTERIOR,dateTime,,General Date,,SI,985786a8-9a6c-4a36-bb6a-03c86415a7cd,,sourceColumn=PRIMERA_FECHA_PEDIDO_POSTERIOR
COLUMNA,Fact_Pedidos_Auditoria,ULTIMA_FECHA_PEDIDO_POSTERIOR,dateTime,,General Date,,SI,3b4e9a09-697a-43ac-9193-912bc996b789,,sourceColumn=ULTIMA_FECHA_PEDIDO_POSTERIOR
COLUMNA,Fact_Pedidos_Auditoria,PRIMERA_FECHA_ENTREGA_POSTERIOR,dateTime,,General Date,,SI,bb27dfd8-43cd-41e1-991e-a4bf6b75318c,,sourceColumn=PRIMERA_FECHA_ENTREGA_POSTERIOR
COLUMNA,Fact_Pedidos_Auditoria,ULTIMA_FECHA_ENTREGA_POSTERIOR,dateTime,,General Date,,SI,8bceb4f5-756e-4740-9ddc-5ca8c82b33e3,,sourceColumn=ULTIMA_FECHA_ENTREGA_POSTERIOR
COLUMNA,Fact_Pedidos_Auditoria,PRIMERA_FECHA_MANIFIESTO,dateTime,,General Date,,SI,2514413b-98e9-4c7f-8475-7fe712b19faf,,sourceColumn=PRIMERA_FECHA_MANIFIESTO
COLUMNA,Fact_Pedidos_Auditoria,ULTIMA_FECHA_MANIFIESTO,dateTime,,General Date,,SI,6a64fa13-1193-482b-a584-fc1b923675ab,,sourceColumn=ULTIMA_FECHA_MANIFIESTO
COLUMNA,Fact_Pedidos_Auditoria,REGLA_CLASIFICACION_FES,string,,,,SI,bdc3e811-19e2-4afd-abd7-068c55b473ef,,sourceColumn=REGLA_CLASIFICACION_FES
COLUMNA,Fact_Pedidos_Auditoria,REGLA_CLASIFICACION_SALDO,string,,,,SI,383592c9-f5f0-4933-a85c-9e543f71eee2,,sourceColumn=REGLA_CLASIFICACION_SALDO
COLUMNA,Fact_Pedidos_Auditoria,SEGMENTO_ANALISIS,string,,,,SI,19f5783c-e115-42a8-89dd-af41e444b4e1,,sourceColumn=SEGMENTO_ANALISIS
COLUMNA,Fact_Pedidos_Auditoria,INCLUIR_SLA_NORMAL,boolean,,"""""""TRUE"""";""""TRUE"""";""""FALSE""""""",,SI,79ce6176-5b8c-42ac-8ec1-5125b2769096,,sourceColumn=INCLUIR_SLA_NORMAL
COLUMNA,Fact_Pedidos_Auditoria,PDA_P_FECHA_HORA,dateTime,,General Date,,SI,3bcbbfc3-7016-4fdf-98d8-af91ed5c9c2d,,sourceColumn=PDA_P_FECHA_HORA
COLUMNA,Fact_Pedidos_Auditoria,PED_FECHA_HORA,dateTime,,General Date,,SI,baaff59d-49f1-4abb-8e5d-1d1b2f873fa1,,sourceColumn=PED_FECHA_HORA
COLUMNA,Fact_Pedidos_Auditoria,COM_P_FECHA_HORA,dateTime,,General Date,,SI,1275571c-101a-4f1d-86bf-18025c3a5178,,sourceColumn=COM_P_FECHA_HORA
COLUMNA,Fact_Pedidos_Auditoria,COM_U_FECHA_HORA,dateTime,,General Date,,SI,1ff0146d-c53f-43e9-8a4a-a4044ec03e3a,,sourceColumn=COM_U_FECHA_HORA
COLUMNA,Fact_Pedidos_Auditoria,CRD_P_FECHA_HORA,dateTime,,General Date,,SI,231637fa-3aa8-45d3-abd2-c9328935dbed,,sourceColumn=CRD_P_FECHA_HORA
COLUMNA,Fact_Pedidos_Auditoria,GER_P_FECHA_HORA,dateTime,,General Date,,SI,e8768d39-f376-44e9-8eb2-a557b591e46d,,sourceColumn=GER_P_FECHA_HORA
COLUMNA,Fact_Pedidos_Auditoria,ENT_P_FECHA_HORA,dateTime,,General Date,,SI,3bc9dd45-a2c4-4d67-a9df-76eb7ca101ad,,sourceColumn=ENT_P_FECHA_HORA
COLUMNA,Fact_Pedidos_Auditoria,ENT_U_FECHA_HORA,dateTime,,General Date,,SI,e00906f5-8a28-4366-b919-d4a7125a749f,,sourceColumn=ENT_U_FECHA_HORA
COLUMNA,Fact_Pedidos_Auditoria,PIC_P_FECHA_HORA,dateTime,,General Date,,SI,dca7344c-b46d-4345-87f3-534aa6b956c7,,sourceColumn=PIC_P_FECHA_HORA
COLUMNA,Fact_Pedidos_Auditoria,PIC_U_FECHA_HORA,dateTime,,General Date,,SI,432bf048-86a2-4232-95d9-495066192d18,,sourceColumn=PIC_U_FECHA_HORA
COLUMNA,Fact_Pedidos_Auditoria,PAC_P_FECHA_HORA,dateTime,,General Date,,SI,9d17f76c-9f96-4b58-8f29-cde021c11ced,,sourceColumn=PAC_P_FECHA_HORA
