RELACION,TABLA_ORIGEN,COLUMNA_ORIGEN,CARDINALIDAD_ORIGEN,TABLA_DESTINO,COLUMNA_DESTINO,CARDINALIDAD_DESTINO,DIRECCION_FILTRO,ACTIVA,SEGURIDAD,AMBIGUA,RIESGO,OBSERVACION
480255ba-e364-474b-92d7-14523374921e,Fact_Pedidos,PED_FECHA,,Dim_Fecha,Fecha,,,SI,,,,
7d5072c8-8d2e-48a0-b241-7675705d4bdb,Fact_Pedidos,PED_CODIGO_CLIENTE,,Dim_Cliente,CLIENTE_CODIGO,,,SI,,,,
f5d82d65-a569-4dc9-99e0-89957ea20c9a,Fact_Pedidos,PED_CANAL_CODIGO,,Dim_Canal,CANAL_CODIGO,,,SI,,,,
f7b804c0-47d7-4887-8bd7-427b96785d72,Fact_Pedidos,PED_RESPONSABLE,,Dim_Responsable,RESPONSABLE_CODIGO,,,SI,,,,
16b20a74-5523-4724-8945-1ef64c769107,Fact_Pedidos,PED_CONDICION_EXPEDICION_CODIGO,,Dim_Condicion_Expedicion,CONDICION_EXPEDICION_CODIGO,,,SI,,,,
9e4a6474-c866-4d2f-95f4-e594ebce822e,Fact_Tiempos_Hitos,PED_FECHA,,Dim_Fecha,Fecha,,,SI,,,,
e8f2009e-42fd-4ee9-96ff-d6ab5337ee92,Fact_Tiempos_Hitos,PED_CODIGO_CLIENTE,,Dim_Cliente,CLIENTE_CODIGO,,,SI,,,,
4bb32744-2ff5-460d-b04c-e94e0484bae3,Fact_Tiempos_Hitos,PED_CANAL_CODIGO,,Dim_Canal,CANAL_CODIGO,,,SI,,,,
a6f8c435-76f9-45de-acc2-eb7b77012100,Fact_Tiempos_Hitos,PED_RESPONSABLE,,Dim_Responsable,RESPONSABLE_CODIGO,,,SI,,,,
a29af88b-48f7-4e1c-9e52-ef14f26a63bb,Fact_Tiempos_Hitos,PED_CONDICION_EXPEDICION_CODIGO,,Dim_Condicion_Expedicion,CONDICION_EXPEDICION_CODIGO,,,SI,,,,
8a13ba71-252d-4ee3-b61c-fa79eeecd61a,Fact_Tiempos_Hitos,METRICA_CODIGO,,Dim_Hito,METRICA_CODIGO,,,SI,,,,
a0136e6f-d9b7-4399-a282-e1e4d8bde001,Fact_Hitos_Operacionales,PED_FECHA,,Dim_Fecha,Fecha,,,SI,,,,
d1ddb939-6040-403d-bde1-2d68528c2002,Fact_Hitos_Operacionales,PED_CODIGO_CLIENTE,,Dim_Cliente,CLIENTE_CODIGO,,,SI,,,,
e88843a2-83e7-4212-bdaf-e7035c280003,Fact_Hitos_Operacionales,PED_RESPONSABLE,,Dim_Responsable,RESPONSABLE_CODIGO,,,SI,,,,
16f39df1-282c-49ad-a324-b1f89e51e004,Fact_Hitos_Operacionales,PED_CANAL_CODIGO,,Dim_Canal,CANAL_CODIGO,,,SI,,,,
78ce221c-fe55-4b35-ac88-0bfa20e59005,Fact_Hitos_Operacionales,PED_CONDICION_EXPEDICION_CODIGO,,Dim_Condicion_Expedicion,CONDICION_EXPEDICION_CODIGO,,,SI,,,,
065724b7-af4d-4dd8-ac4e-d750204c3006,Fact_Hitos_Operacionales,METRICA_CODIGO,,Config_SLA_Hitos,METRICA_CODIGO,,,SI,,,,
26000000-0000-4000-8000-000000002001,Fact_Tracking,PED_FECHA,,Dim_Fecha,Fecha,,,SI,,,,
26000000-0000-4000-8000-000000002002,Fact_Tracking,PED_CODIGO_CLIENTE,,Dim_Cliente,CLIENTE_CODIGO,,,SI,,,,
26000000-0000-4000-8000-000000002003,Fact_Tracking,PED_CANAL_CODIGO,,Dim_Canal,CANAL_CODIGO,,,SI,,,,
26000000-0000-4000-8000-000000002004,Fact_Tracking,PED_RESPONSABLE,,Dim_Responsable,RESPONSABLE_CODIGO,,,SI,,,,
26000000-0000-4000-8000-000000002005,Fact_Tracking,PED_CONDICION_EXPEDICION_CODIGO,,Dim_Condicion_Expedicion,CONDICION_EXPEDICION_CODIGO,,,SI,,,,
26000000-0000-4000-8000-000000005001,Fact_Tracking,PED_NUMERO_PEDIDO,,Dim_Pedido,PED_NUMERO_PEDIDO,,,SI,,,,
26000000-0000-4000-8000-000000005002,Fact_Hitos_Operacionales,PED_NUMERO_PEDIDO,,Dim_Pedido,PED_NUMERO_PEDIDO,,,SI,,,,
26000000-0000-4000-8000-000000005003,Fact_Pedidos,PED_NUMERO_PEDIDO,,Dim_Pedido,PED_NUMERO_PEDIDO,,,SI,,,,
26000000-0000-4000-8000-000000005004,Fact_Tiempos_Hitos,PED_NUMERO_PEDIDO,,Dim_Pedido,PED_NUMERO_PEDIDO,,,SI,,,,
26000000-0000-4000-8000-000000005005,Fact_Pedidos_Auditoria,PED_NUMERO_PEDIDO,,Dim_Pedido,PED_NUMERO_PEDIDO,,,SI,,,,
39000000-0000-4000-8000-000000000021,Dim_Fecha,AnioMes,,Dim_Periodo_3M,AnioMes,,,SI,,,,
3934ce17-0dbd-43e5-b88c-a9e7e590cc90,Resultado,PED_NUMERO_PEDIDO,,Dim_Pedido,PED_NUMERO_PEDIDO,,,SI,,,,
2047da99-12d7-4411-a0d5-1716d0a0162a,Resultado,PED_FECHA,,Dim_Fecha,Fecha,,,SI,,,,
8172d4cf-5d5a-40d0-9c3d-983ec3946b6e,Resultado,PED_CODIGO_CLIENTE,,Dim_Cliente,CLIENTE_CODIGO,,,SI,,,,
5db01845-7a94-4912-b1d3-51970e156b55,Resultado,PED_RESPONSABLE,,Dim_Responsable,RESPONSABLE_CODIGO,,,SI,,,,
05aa705d-2a0d-4880-bb53-913b1b6f427f,Resultado,PED_CANAL_CODIGO,,Dim_Canal,CANAL_CODIGO,,,SI,,,,
cd5a8f00-cf4a-4179-a550-ff6fbdc744bf,Resultado,PED_CONDICION_EXPEDICION_CODIGO,,Dim_Condicion_Expedicion,CONDICION_EXPEDICION_CODIGO,,,SI,,,,
53000000-0000-4000-8000-000000000001,Lineas_y_unidades_por_pedidos,Pedido,,Dim_Pedido,PED_NUMERO_PEDIDO,,,SI,,,,
