MEDIDA,TABLA,EXPRESION_DAX,USA_SLA_FIJO_5,USA_SLA_ZONAL,USA_TRACKING_TRUE,USA_PEDIDO_CERRADO,USA_FECHA_CIERRE_CORRECTA,DEPENDENCIAS,RESULTADO,OBSERVACION
Pedidos = [U Pedidos universo],Medidas,,NO,NO,NO,NO,NO,,OK,
'OP Pedidos Hito' = DISTINCTCOUNT(Fact_Hitos_Operacionales[PED_NUMERO_PEDIDO]),Medidas,,NO,NO,NO,NO,NO,,OK,
"'OP Pedidos con Dato' = CALCULATE([OP Pedidos Hito], Fact_Hitos_Operacionales[TIENE_DATO] = TRUE())",Medidas,,NO,NO,NO,NO,NO,,OK,
"'OP Cobertura Hitos %' = DIVIDE([OP Pedidos con Dato], [OP Pedidos Hito])",Medidas,,NO,NO,NO,NO,NO,,OK,
"'OP Pedidos Cumple KPI' = CALCULATE([OP Pedidos Hito], Fact_Hitos_Operacionales[CUMPLE_KPI] = TRUE())",Medidas,,NO,NO,NO,NO,NO,,OK,
"'OP Pedidos Fuera KPI' = CALCULATE([OP Pedidos Hito], Fact_Hitos_Operacionales[TIENE_DATO] = TRUE(), Fact_Hitos_Operacionales[CUMPLE_KPI] = FALSE())",Medidas,,NO,NO,NO,NO,NO,,OK,
"'OP % Cumplimiento Hito' = DIVIDE([OP Pedidos Cumple KPI], [OP Pedidos Cumple KPI] + [OP Pedidos Fuera KPI])",Medidas,,NO,NO,NO,NO,NO,,OK,
"'OP Promedio Hito DH' = CALCULATE(AVERAGE(Fact_Hitos_Operacionales[DIAS_HABILES]), TREATAS(VALUES(Dim_Vista_Ejecutiva[METRICA_CODIGO]), Fact_Hitos_Operacionales[METRICA_CODIGO]))",Medidas,,NO,NO,NO,NO,NO,,OK,
'OP P90 Hito DH' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'OP SLA Hito DH' = SELECTEDVALUE(Config_SLA_Hitos[SLA_DH]),Medidas,,NO,NO,NO,NO,NO,,OK,
'OP Días Exceso' = SUM(Fact_Hitos_Operacionales[EXCESO_DH]),Medidas,,NO,NO,NO,NO,NO,,OK,
'OP Valor Afectado' =,Medidas,,NO,NO,NO,NO,NO,,OK,
"'OP Meses Incumplimiento Cliente' = CALCULATE(DISTINCTCOUNT(Fact_Hitos_Operacionales[MES_CREACION]), Fact_Hitos_Operacionales[TIENE_DATO] = TRUE(), Fact_Hitos_Operacionales[CUMPLE_KPI] = FALSE())",Medidas,,NO,NO,NO,NO,NO,,OK,
'OP Clientes Recurrentes' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'OP Score Cuello Hito' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'OP Cuello de Botella' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'OP Principal Cliente Fuera KPI' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'OP Prioridad Hallazgo' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'OP Hallazgo Dinámico' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'OP Plan de Acción Dinámico' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'Normal evaluados' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'Preparación P90 DH' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'Tránsito mínimo DH' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'Tránsito máximo DH' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'Promesa mínima DH' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'Promesa máxima DH' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'Promesa oficial' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'NS preparación %' = [U NS observado interno],Medidas,,NO,NO,NO,NO,NO,,OK,
