CLIENTE,VENDEDOR,FLUJO,MES_1,FUERA_SLA_MES_1,MES_2,FUERA_SLA_MES_2,MES_3,FUERA_SLA_MES_3,MESES_FUERA_SLA,CLASIFICACION_RECURRENCIA,PEDIDOS_TOTAL,PEDIDOS_FUERA_SLA,PORCENTAJE_FUERA_SLA,PROMEDIO_DH_FUERA_SLA,P90_DH_FUERA_SLA
411430,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,14,0,0.0,,
370088,V615,FES,2026-05,NO,2026-06,SI,2026-07,NO,1,Puntual 1M,5,1,20.0,11.0,11
445107,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,3,0,0.0,,
410159,V585,FES;FES + SALDO;NORMAL,2026-05,SI,2026-06,SI,2026-07,SI,3,Recurrente 3M,14,7,50.0,5.86,6
981505,V612,NORMAL,2026-05,SI,2026-06,SI,2026-07,NO,2,Recurrente 2M,18,3,16.67,6.0,6
410586,V612,FES;NORMAL,2026-05,SI,2026-06,SI,2026-07,NO,2,Recurrente 2M,17,4,23.53,5.25,5
430671,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
410158,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,3,0,0.0,,
411402,V612,FES,2026-05,SI,2026-06,NO,2026-07,NO,1,Puntual 1M,36,1,2.78,5.0,5
410313,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,3,0,0.0,,
400496,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,2,0,0.0,,
445209,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,5,0,0.0,,
440382,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,5,0,0.0,,
420587,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
