VENDEDOR,FLUJO,CLIENTES_3M,CLIENTES_2M_MAS,PEDIDOS_FUERA_SLA_SOLO_RECURRENTES,PORCENTAJE_FUERA_SLA_SOLO_RECURRENTES,PROMEDIO_DH_SOLO_RECURRENTES,LINEAS_SOLO_RECURRENTES,UNIDADES_SOLO_RECURRENTES,VALOR_SOLO_RECURRENTES
V585,FES;FES + SALDO;NORMAL,1,2,9,47.37,,182,158260.0,128917197.0
V612,FES;FES + SALDO;NORMAL,1,7,22,29.33,,252,37057.0,46014314.0
V615,NORMAL,1,4,4,80.0,,6,160.0,1973072.0
V650,FES;NORMAL,1,4,7,50.0,,50,1277.0,4807427.0
V610,FES;NORMAL,0,5,11,55.0,,374,235115.0,107782800.0
V108,FES;NORMAL,0,1,2,20.0,,0,0,3516772.0
V580,FES;NORMAL,0,2,7,50.0,,204,3591.0,11846809.0
V550,FES;NORMAL,0,3,7,50.0,,423,20366.0,27752496.0
V861,FES;NORMAL,0,1,5,33.33,,116,27112.0,19848368.0
V800,FES;NORMAL,0,3,9,60.0,,444,22407.0,21955178.0
V834,FES;NORMAL,0,2,4,66.67,,152,10876.0,7700164.0
V835,FES;NORMAL,0,1,2,66.67,,182,9638.0,12538042.0
V614,NORMAL,0,1,1,100.0,,38,392.0,290024.0
