MES,ZONA,FLUJO,CLASIFICACION,PEDIDOS_LIENZO_00,PEDIDOS_LIENZO_01,DIFERENCIA_PEDIDOS,FUERA_SLA_LIENZO_00,FUERA_SLA_LIENZO_01,DIFERENCIA_FUERA_SLA,NS_LIENZO_00,NS_LIENZO_01,DIFERENCIA_NS,LINEAS,UNIDADES
2026-04,Regiones,FES,FES,37,37,0,,,,,,,,
2026-04,Regiones,NORMAL,NORMAL,3,3,0,,,,,,,,
2026-04,Santiago,FES,FES,19,19,0,,,,,,,,
2026-05,Regiones,FES,FES,71,71,0,,,,,,,,
2026-05,Regiones,NORMAL,NORMAL,303,303,0,,,,,,,,
2026-05,Santiago,FES,FES,63,63,0,,,,,,,,
2026-05,Santiago,FES + SALDO,FES + SALDO,1,1,0,,,,,,,,
2026-05,Santiago,NORMAL,NORMAL,236,236,0,,,,,,,,
2026-06,Regiones,FES,FES,131,131,0,,,,,,,,
2026-06,Regiones,FES + SALDO,FES + SALDO,1,1,0,,,,,,,,
2026-06,Regiones,NORMAL,NORMAL,282,282,0,,,,,,,,
2026-06,Regiones,SALDO,SALDO,1,1,0,,,,,,,,
2026-06,Santiago,FES,FES,87,87,0,,,,,,,,
2026-06,Santiago,FES + SALDO,FES + SALDO,1,1,0,,,,,,,,
2026-06,Santiago,NORMAL,NORMAL,227,227,0,,,,,,,,
2026-07,Regiones,FES,FES,27,27,0,,,,,,,,
2026-07,Regiones,NORMAL,NORMAL,99,99,0,,,,,,,,
2026-07,Santiago,FES,FES,13,13,0,,,,,,,,
2026-07,Santiago,NORMAL,NORMAL,93,93,0,,,,,,,,
TOTAL,TOTAL,TOTAL,TOTAL,1616,1616,0,360,360,0,77.72,77.72,0,,
TOTAL,Regiones,TOTAL,TOTAL,908,908,0,199,199,0,78.08,78.08,0,,
TOTAL,Santiago,TOTAL,TOTAL,708,708,0,161,161,0,77.26,77.26,0,,
