PEDIDO,EXISTE_EN_TRACKING,EXISTE_EN_TABLA_LINEAS,FILAS_TABLA_LINEAS,LINEAS,UNIDADES,DUPLICADO,RESULTADO,OBSERVACION
1168129,SI,SI,1,12,426,NO,OK,
1168117,SI,NO,0,,,NO,SIN_COBERTURA,
1168108,SI,SI,1,21,374,NO,OK,
1168107,SI,SI,1,3,3492,NO,OK,
1168103,SI,NO,0,,,NO,SIN_COBERTURA,
1168122,SI,NO,0,,,NO,SIN_COBERTURA,
1168112,SI,SI,1,2,312,NO,OK,
1168111,SI,SI,1,13,3011,NO,OK,
1168097,SI,NO,0,,,NO,SIN_COBERTURA,
1168096,SI,NO,0,,,NO,SIN_COBERTURA,
1168092,SI,NO,0,,,NO,SIN_COBERTURA,
1168087,SI,SI,1,1,504,NO,OK,
1168085,SI,NO,0,,,NO,SIN_COBERTURA,
1168080,SI,SI,1,1,24,NO,OK,
4190139991,SI,SI,1,16,287,NO,OK,
1168065,SI,SI,1,8,192,NO,OK,
1168059,SI,SI,1,13,157,NO,OK,
1168055,SI,NO,0,,,NO,SIN_COBERTURA,
1168054,SI,NO,0,,,NO,SIN_COBERTURA,
1168052,SI,SI,1,12,244,NO,OK,
1168051,SI,SI,1,12,1425,NO,OK,
1168050,SI,SI,1,5,134,NO,OK,
1168041,SI,SI,1,15,360,NO,OK,
1168040,SI,NO,0,,,NO,SIN_COBERTURA,
1168038,SI,SI,1,5,282,NO,OK,
4190139953,SI,SI,1,8,204,NO,OK,
1168022,SI,SI,1,1,60,NO,OK,
1168016,SI,NO,0,,,NO,SIN_COBERTURA,
1168006,SI,SI,1,1909,38936,NO,OK,
1167362,SI,SI,1,5,9440,NO,OK,
1167361,SI,SI,1,2,552,NO,OK,
1167357,SI,SI,1,1,1320,NO,OK,
1167356,SI,SI,1,1,3156,NO,OK,
1167350,SI,NO,0,,,NO,SIN_COBERTURA,
1167345,SI,SI,1,34,697,NO,OK,
1167342,SI,NO,0,,,NO,SIN_COBERTURA,
1167336,SI,SI,1,21,357,NO,OK,
1167307,SI,SI,1,17,214,NO,OK,
1167302,SI,SI,1,1,126,NO,OK,
4190139829,SI,SI,1,7,279,NO,OK,
1167298,SI,SI,1,5,984,NO,OK,
1167296,SI,SI,1,6,150,NO,OK,
1167292,SI,SI,1,2,6,NO,OK,
1167284,SI,SI,1,5,300,NO,OK,
1167282,SI,SI,1,13,713,NO,OK,
4190139789,SI,NO,0,,,NO,SIN_COBERTURA,
1167281,SI,SI,1,5,642,NO,OK,
4190139785,SI,SI,1,39,994,NO,OK,
1167278,SI,NO,0,,,NO,SIN_COBERTURA,
1167277,SI,NO,0,,,NO,SIN_COBERTURA,
1167268,SI,NO,0,,,NO,SIN_COBERTURA,
1167279,SI,NO,0,,,NO,SIN_COBERTURA,
1167263,SI,SI,1,19,66717,NO,OK,
4190139769,SI,SI,1,5,1260,NO,OK,
1167255,SI,SI,1,4,76,NO,OK,
1167254,SI,SI,1,5,142,NO,OK,
1167251,SI,SI,1,13,771,NO,OK,
4190139752,SI,SI,1,3,222,NO,OK,
1167257,SI,SI,1,16,464,NO,OK,
1167239,SI,SI,1,1,1,NO,OK,
1167238,SI,SI,1,1,1,NO,OK,
1167233,SI,NO,0,,,NO,SIN_COBERTURA,
1167231,SI,NO,0,,,NO,SIN_COBERTURA,
1167228,SI,NO,0,,,NO,SIN_COBERTURA,
1167216,SI,SI,1,3,1160,NO,OK,
1167217,SI,SI,1,5,984,NO,OK,
1167212,SI,SI,1,6,2400,NO,OK,
