Pedido,Lineas,Unidades
1161974,1,1
1156668,1,1
1149872,1,1
1152138,1,1
1147868,1,1
1164304,1,1
1153704,1,1
40034636,1,1
1149924,1,1
1154684,1,1
1154679,1,1
1147893,1,1
1148600,1,1
1149141,1,1
1156653,1,1
1162762,1,1
1159487,1,1
1148659,1,1
1155963,1,1
1155941,1,1
1147896,1,1
1157920,1,1
1149145,1,1
1150819,1,1
1155449,1,1
1149167,1,1
1159064,1,1
1164308,1,1
1147862,1,1
30033629,1,1
1153690,1,1
1153693,1,1
1148609,1,1
1147904,1,1
1166867,1,1
1147883,1,1
1148590,1,1
1157896,1,1
1162084,1,1
1148629,1,1
1150732,1,1
1156908,1,1
1164371,1,1
1148615,1,1
30031622,1,1
1153692,1,1
1164301,1,1
1155393,1,1
1162759,1,1
1154161,1,1
1112255,1,1
1165368,1,1
1147901,1,1
1157922,1,1
1156628,1,1
1167594,1,1
1164291,1,1
1152782,1,1
1162764,1,1
1150825,1,1
1148595,1,1
1153674,1,1
1149149,1,1
1150833,1,1
1155392,1,1
1153688,1,1
1168185,1,1
30030080,1,1
1153684,1,1
1162749,1,1
1150858,1,1
1155359,1,1
1157283,1,1
1156662,1,1
1149927,1,1
1152103,1,1
1150504,1,1
1149148,1,1
30031087,1,1
1159469,1,1
1156648,1,1
1146407,1,1
1155970,1,1
1157748,1,1
1155436,1,1
1158784,1,1
1160380,1,1
1156663,1,1
1155459,1,1
1154682,1,1
1156645,1,1
1161389,1,1
1168009,1,1
1159462,1,1
1150827,1,1
1167597,1,1
1153689,1,1
1155380,1,1
1162769,1,1
1154693,1,1
1162478,1,1
1148788,1,1
1157292,1,1
1166344,1,1
1153887,1,1
1166906,1,1
30030954,1,1
1154782,1,1
1153679,1,1
1154780,1,1
1165859,1,1
1165348,1,1
1165364,1,1
1152689,1,1
40035415,1,1
1148739,1,1
1162075,1,1
1156631,1,1
1158796,1,1
1157603,1,1
1167602,1,1
1149160,1,1
1162016,1,1
1154994,1,1
1155616,1,1
1148597,1,1
1162756,1,1
1152651,1,1
1166369,1,1
1157285,1,1
1150284,1,1
1155973,1,1
1162766,1,1
1149948,1,1
1152149,1,1
1148061,1,1
1150839,1,1
1157905,1,1
1165358,1,1
1148747,1,1
1158772,1,1
1165355,1,1
1157897,1,1
1155936,1,1
30029056,1,1
1147899,1,1
1167595,1,1
1149925,1,1
1149165,1,1
1149876,1,1
1164325,1,1
1157908,1,1
1159473,1,1
1158775,1,1
1155369,1,1
1149146,1,1
1153694,1,1
1147880,1,1
1164373,1,1
1155431,1,1
1147894,1,1
30029839,1,1
1167089,1,1
1165669,1,1
1168245,1,1
1161955,1,1
30029695,1,1
1147864,1,1
1148745,1,1
1153179,1,1
1162987,1,1
1155964,1,1
30031904,1,1
1155390,1,1
1148045,1,1
1153701,1,1
1150823,1,1
1157272,1,1
1152650,1,1
1167604,1,1
1160376,1,1
1152679,1,1
1155969,1,1
1158782,1,1
1159468,1,1
1158794,1,1
1158807,1,1
1152105,1,1
1150733,1,1
1149930,1,1
1150822,1,1
1167239,1,1
1153683,1,1
1153719,1,1
1166313,1,1
1150728,1,1
1157279,1,1
1167589,1,1
30030899,1,1
1148601,1,1
1153724,1,1
1167644,1,1
40039852,1,1
1162746,1,1
1150831,1,1
1149940,1,1
1160397,1,1
1156636,1,1
1155953,1,1
1152657,1,1
1160398,1,1
1101125,1,1
1166354,1,1
1158805,1,1
1162984,1,1
1150329,1,1
1164370,1,1
1147900,1,1
1160188,1,1
1162744,1,1
1158799,1,1
1167586,1,1
1166365,1,1
1156660,1,1
1162751,1,1
1162758,1,1
1166322,1,1
1157232,1,1
1152655,1,1
1166319,1,1
1152150,1,1
1166364,1,1
1158417,1,1
1148738,1,1
1150844,1,1
30030056,1,1
1155430,1,1
1149187,1,1
1152135,1,1
1155363,1,1
1149926,1,1
1165751,1,1
1157256,1,1
1166870,1,1
1165365,1,1
1166874,1,1
1152775,1,1
1160403,1,1
1167230,1,1
1164339,1,1
1152659,1,1
1155961,1,1
1157264,1,1
1152145,1,1
1153147,1,1
1159457,1,1
1149181,1,1
1164298,1,1
1165370,1,1
