PAGINA,ID_VISUAL,NOMBRE_VISUAL,TIPO_VISUAL,TITULO,SUBTITULO,TABLAS_USADAS,COLUMNAS_USADAS,MEDIDAS_USADAS,FILTROS_VISUAL,FILTROS_PAGINA,FILTROS_REPORTE,ORDENAMIENTO,DRILLTHROUGH,TOOLTIP,VISIBLE,X,Y,ANCHO,ALTO,SUPERPOSICION,RESPONDE_PREGUNTA_NEGOCIO,OBSERVACION
00 Resumen Ejecutivo Mayorista,3b0d647a439385b325bd,3b0d647a439385b325bd,pivotTable,PROMEDIO DE DÍAS POR POR CANAL DE VENTA,,Medidas,,RE P90 hito DH;RE Pedidos hito con dato;RE Promedio hito DH,M:RE Pedidos hito con dato;M:RE Promedio hito DH;M:RE P90 hito DH;C:PED_CANAL_CODIGO,,,,,,SI,16,640,288,128,,,
00 Resumen Ejecutivo Mayorista,8b664941e6c072783070,8b664941e6c072783070,pivotTable,PROMEDIO DE DÍAS POR POR ZONA SANTIAGO Y REGIONES,,Medidas,,RE P90 hito DH;RE Pedidos hito con dato;RE Promedio hito DH,M:RE Promedio hito DH;M:RE P90 hito DH;C:ZONA;M:RE Pedidos hito con dato,,,,,,SI,16,480,288,128,,,
00 Resumen Ejecutivo Mayorista,bg_page,bg_page,shape,,,,,,,,,,,,SI,0,16,1600,848,,,
00 Resumen Ejecutivo Mayorista,btn_reset_resumen,btn_reset_resumen,actionButton,,,,,,,,,,,,SI,32,416,176,36,,,
00 Resumen Ejecutivo Mayorista,chart_mensual_3m_v39,chart_mensual_3m_v39,tableEx,,,Medidas,,RE Evolución 3M SVG,M:RE Evolución 3M SVG,,,,,,SI,235,220,620,260,,,
00 Resumen Ejecutivo Mayorista,critical_table,critical_table,tableEx,PEDIDOS CRÍTICOS · HITO DOMINANTE Y MOTIVO OPERATIVO,,Fact_Tracking;Medidas,CLASIFICACION;PED_NUMERO_PEDIDO,RE TT Cierre;RE TT Cliente;RE TT Creación;RE TT Días Top 10;RE TT Estado SVG;RE TT Exceso crítico DH;RE TT Factura;RE TT Hito crítico;RE TT Motivo operativo;RE TT Vendedor,C:PED_NUMERO_PEDIDO;M:RE TT Cliente;M:RE TT Vendedor;C:CLASIFICACION;M:RE TT Días Top 10;M:RE TT Hito crítico;M:RE TT Exceso crítico DH;M:RE TT Motivo operativo;M:RE TT Estado SVG;M:RE TT Cierre;M:RE TT Creación;M:RE TT Factura,,,,,'22a1b2c3d4e5f6071829',SI,768.0000000000001,479.99999999999994,816,304,,,
00 Resumen Ejecutivo Mayorista,donut_flujo,donut_flujo,tableEx,,,Medidas,,RE Distribución Flujo SVG,,,,,,'45f3e8a9c0124b67d89a',SI,1175.3731343283582,220.52238805970148,404.1044776119403,259.7014925373134,,,
00 Resumen Ejecutivo Mayorista,f07bd2d60e407e2ddd01,f07bd2d60e407e2ddd01,tableEx,,,Medidas,,RE KPI Pedidos SVG,,,,,,'22a1b2c3d4e5f6071829',SI,608,80,320,144,,,
00 Resumen Ejecutivo Mayorista,filter_panel,filter_panel,shape,,,,,,,,,,,,SI,16,80,208,383.99999999999994,,,
00 Resumen Ejecutivo Mayorista,filter_title,filter_title,textbox,,,,,,,,,,,,SI,30.223880597014926,86.19402985074628,175.7462686567164,31.34328358208955,,,
