CONSULTA,TIPO,FUENTE,DEPENDENCIAS,CARGA_HABILITADA,ERROR,USA_PYTHON,SCRIPT_PYTHON,RIESGO,OBSERVACION
Fact_Pedidos_Auditoria,PARTICION_M,M,,SI,,NO,,,len=0
auditoria,PARTICION_M,M,,SI,,NO,,,len=0
Fact_Pedidos,PARTICION_M,M,,SI,,NO,,,len=0
Fact_Tiempos_Hitos,PARTICION_M,M,,SI,,NO,,,len=0
Dim_Hito,PARTICION_M,M,,SI,,NO,,,len=0
Dim_Fecha,PARTICION_M,M,,SI,,NO,,,len=0
Dim_Periodo_3M,PARTICION_M,M,,SI,,NO,,,len=0
Dim_Mes_Trend,PARTICION_M,M,,SI,,NO,,,len=0
Dim_Cliente,PARTICION_M,M,,SI,,NO,,,len=0
Dim_Canal,PARTICION_M,M,,SI,,NO,,,len=0
Dim_Responsable,PARTICION_M,M,,SI,,NO,,,len=0
Dim_Condicion_Expedicion,PARTICION_M,M,,SI,,NO,,,len=0
Medidas,PARTICION_M,M,,SI,,NO,,,len=0
Cliente_Vendedor,PARTICION_M,M,,SI,,NO,,,len=0
Dim_Feriados_Chile,PARTICION_M,M,,SI,,NO,,,len=0
Config_SLA_Hitos,PARTICION_M,M,,SI,,NO,,,len=0
Config_Promesa_Entrega,PARTICION_M,M,,SI,,NO,,,len=0
Fact_Hitos_Operacionales,PARTICION_M,M,,SI,,NO,,,len=0
Fact_Tracking,PARTICION_M,M,,SI,,NO,,,len=0
Dim_Pedido,PARTICION_M,M,,SI,,NO,,,len=0
Dim_Vista_Ejecutiva,PARTICION_M,M,,SI,,NO,,,len=0
Dim_Metrica_Auditoria,PARTICION_M,M,,SI,,NO,,,len=0
Dim_Indicador_Ejecutivo,PARTICION_M,M,,SI,,NO,,,len=0
Dim_Rango_Entrega,PARTICION_M,M,,SI,,NO,,,len=0
Resultado,PARTICION_M,M,,SI,,NO,,,len=0
Bloque_comercial,PARTICION_M,M,,SI,,NO,,,len=0
Lineas_y_unidades_por_pedidos,PARTICION_M,M,,SI,,NO,,,len=0
