PAGINA,VISUAL,MEDIDA_SVG,TOOLTIP_ANTES,CAMBIADO
1770ed4eda3cc316ddd7,277b9d0e888312643c62,ns_detalle_dark.svg | ns_detalle_hover.svg | ns_detalle_white.svg,AUSENTE/DEFAULT,True
19a0c7f8d6e54b3a9210,309a51a96bc9d090ab43,Medidas.RE KPI Valor SVG | RE KPI Valor SVG,true,True
19a0c7f8d6e54b3a9210,40ac169dd89e96270ac9,Medidas.RE KPI Pedidos SVG | RE KPI Pedidos SVG,true,True
19a0c7f8d6e54b3a9210,84343c674ecddeb910c5,Medidas.RE KPI NS SVG | RE KPI NS SVG,true,True
19a0c7f8d6e54b3a9210,card_cdce0b90a20e69,Medidas.TR NS ruta SVG | TR NS ruta SVG,AUSENTE/DEFAULT,True
19a0c7f8d6e54b3a9210,chart_clasificacion,Medidas.TR Clasificación SVG | TR Clasificación SVG,AUSENTE/DEFAULT,True
19a0c7f8d6e54b3a9210,dd60148c4db229925749,Medidas.RE Pedido Seleccionado SVG | RE Pedido Seleccionado SVG,AUSENTE/DEFAULT,True
19a0c7f8d6e54b3a9210,nav_cuellos_v34,ns_cuellos_dark.svg | ns_cuellos_hover.svg | ns_cuellos_white.svg,AUSENTE/DEFAULT,True
19a0c7f8d6e54b3a9210,nav_detalle_v34,ns_detalle_dark.svg | ns_detalle_hover.svg | ns_detalle_white.svg,AUSENTE/DEFAULT,True
19a0c7f8d6e54b3a9210,nav_resumen_v34,ns_resumen_dark.svg | ns_resumen_hover.svg | ns_resumen_white.svg,AUSENTE/DEFAULT,True
19a0c7f8d6e54b3a9210,nav_tracking_v34,ns_tracking_dark.svg | ns_tracking_hover.svg | ns_tracking_white.svg,AUSENTE/DEFAULT,True
19a0c7f8d6e54b3a9210,route_40435689d94f81,Medidas.TR Ruta camión SVG | TR Ruta camión SVG,false,True
19a0c7f8d6e54b3a9210,table_15b8b83ff48292,AUD Semáforo SVG | Medidas.AUD Semáforo SVG,true,True
45f3e8a9c0124b67d89a,fes_diag_card,Medidas.RE FES Diagnóstico SVG | RE FES Diagnóstico SVG,AUSENTE/DEFAULT,True
65238545e68f4c9884ca,tt_status,Medidas.UI Indicador ejecutivo SVG | UI Indicador ejecutivo SVG,AUSENTE/DEFAULT,True
71af1998e2cb472d9799,btn_reset_resumen,reset_dark.svg | reset_hover.svg,AUSENTE/DEFAULT,True
71af1998e2cb472d9799,chart_mensual_3m_v39,Medidas.RE Evolución 3M SVG | RE Evolución 3M SVG,false,False
71af1998e2cb472d9799,critical_table,Medidas.RE TT Estado SVG | RE TT Estado SVG,true,True
71af1998e2cb472d9799,donut_flujo,Medidas.RE Distribución Flujo SVG | RE Distribución Flujo SVG,true,True
71af1998e2cb472d9799,f07bd2d60e407e2ddd01,Medidas.RE KPI Pedidos SVG | RE KPI Pedidos SVG,true,True
71af1998e2cb472d9799,flow_operativo,flow_operativo.svg,AUSENTE/DEFAULT,True
71af1998e2cb472d9799,kpi_promesa,Medidas.RE KPI Promesa SVG | RE KPI Promesa SVG,true,True
71af1998e2cb472d9799,logo_artel,artel_logo.svg,AUSENTE/DEFAULT,True
71af1998e2cb472d9799,nav_tracking_v34,ns_tracking_hover.svg | ns_tracking_white.svg,AUSENTE/DEFAULT,True
71af1998e2cb472d9799,sla_panel,Medidas.RE SLA Panel SVG | RE SLA Panel SVG,true,True
71af1998e2cb472d9799,summary_month,Medidas.RE Resumen Mes SVG | RE Resumen Mes SVG,false,False
a1b2c3d4e5f6071829,404f2d93ca5a3787d85b,artel_logo.svg,AUSENTE/DEFAULT,True
a1b2c3d4e5f6071829,critical_table,Medidas.RE TT Estado SVG | RE TT Estado SVG,true,True
a1b2c3d4e5f6071829,fa_btn_auditar_seleccion,ns_detalle_hover.svg | ns_detalle_white.svg,AUSENTE/DEFAULT,True
a1b2c3d4e5f6071829,logo_artel,artel_logo.svg,AUSENTE/DEFAULT,True
a1b2c3d4e5f6071829,nav_resumen_v34,ns_resumen_hover.svg | ns_resumen_white.svg,AUSENTE/DEFAULT,True
cb613066ebaf4e749a13,tt_status,AUD Semáforo SVG | Medidas.AUD Semáforo SVG,AUSENTE/DEFAULT,True
df1cb253a6314642a469,nav_cuellos_v34,ns_cuellos_dark.svg | ns_cuellos_hover.svg | ns_cuellos_white.svg,AUSENTE/DEFAULT,True
df1cb253a6314642a469,nav_detalle_v34,ns_detalle_dark.svg | ns_detalle_hover.svg | ns_detalle_white.svg,AUSENTE/DEFAULT,True
df1cb253a6314642a469,nav_resumen_v34,ns_resumen_dark.svg | ns_resumen_hover.svg | ns_resumen_white.svg,AUSENTE/DEFAULT,True
df1cb253a6314642a469,nav_tracking_v34,ns_tracking_dark.svg | ns_tracking_hover.svg | ns_tracking_white.svg,AUSENTE/DEFAULT,True
ed2a2fead6d24153bee1,back_v34,ns_back_dark.svg | ns_back_hover.svg,AUSENTE/DEFAULT,True
ed2a2fead6d24153bee1,card_4e4fe7d672d840,AUD Semáforo general SVG | Medidas.AUD Semáforo general SVG,false,False
ed2a2fead6d24153bee1,nav_cuellos_v34,ns_cuellos_dark.svg | ns_cuellos_hover.svg | ns_cuellos_white.svg,AUSENTE/DEFAULT,True
ed2a2fead6d24153bee1,nav_detalle_v34,ns_detalle_dark.svg | ns_detalle_hover.svg | ns_detalle_white.svg,AUSENTE/DEFAULT,True
ed2a2fead6d24153bee1,nav_resumen_v34,ns_resumen_dark.svg | ns_resumen_hover.svg | ns_resumen_white.svg,AUSENTE/DEFAULT,True
ed2a2fead6d24153bee1,nav_tracking_v34,ns_tracking_dark.svg | ns_tracking_hover.svg | ns_tracking_white.svg,AUSENTE/DEFAULT,True
ed2a2fead6d24153bee1,table_c57572c4abbe4d,AUD Semáforo SVG | Medidas.AUD Semáforo SVG,false,False
