PAGINA,VISUAL,SVG_RENDERIZA,HOVER_SOBRE_IMAGEN,HOVER_SOBRE_CELDA,MUESTRA_CODIGO,MUESTRA_TOOLTIP_NEGOCIO,RESULTADO,OBSERVACION
,277b9d0e888312643c62,,,,NO (tooltip desactivado),,PENDIENTE,Probar en Power BI Desktop
,309a51a96bc9d090ab43,,,,NO (tooltip desactivado),,PENDIENTE,Probar en Power BI Desktop
,404f2d93ca5a3787d85b,,,,NO (tooltip desactivado),,PENDIENTE,Probar en Power BI Desktop
,40ac169dd89e96270ac9,,,,NO (tooltip desactivado),,PENDIENTE,Probar en Power BI Desktop
,84343c674ecddeb910c5,,,,NO (tooltip desactivado),,PENDIENTE,Probar en Power BI Desktop
,back_v34,,,,NO (tooltip desactivado),,PENDIENTE,Probar en Power BI Desktop
,btn_reset_resumen,,,,NO (tooltip desactivado),,PENDIENTE,Probar en Power BI Desktop
,card_4e4fe7d672d840,,,,NO (tooltip desactivado),,PENDIENTE,Probar en Power BI Desktop
,card_cdce0b90a20e69,,,,NO (tooltip desactivado),,PENDIENTE,Probar en Power BI Desktop
,chart_clasificacion,,,,NO (tooltip desactivado),,PENDIENTE,Probar en Power BI Desktop
,chart_mensual_3m_v39,,,,NO (tooltip desactivado),,PENDIENTE,Probar en Power BI Desktop
,critical_table,,,,NO (tooltip desactivado),,PENDIENTE,Probar en Power BI Desktop
,dd60148c4db229925749,,,,NO (tooltip desactivado),,PENDIENTE,Probar en Power BI Desktop
,donut_flujo,,,,NO (tooltip desactivado),,PENDIENTE,Probar en Power BI Desktop
,f07bd2d60e407e2ddd01,,,,NO (tooltip desactivado),,PENDIENTE,Probar en Power BI Desktop
,fa_btn_auditar_seleccion,,,,NO (tooltip desactivado),,PENDIENTE,Probar en Power BI Desktop
,fes_diag_card,,,,NO (tooltip desactivado),,PENDIENTE,Probar en Power BI Desktop
,flow_operativo,,,,NO (tooltip desactivado),,PENDIENTE,Probar en Power BI Desktop
,kpi_promesa,,,,NO (tooltip desactivado),,PENDIENTE,Probar en Power BI Desktop
,logo_artel,,,,NO (tooltip desactivado),,PENDIENTE,Probar en Power BI Desktop
,nav_cuellos_v34,,,,NO (tooltip desactivado),,PENDIENTE,Probar en Power BI Desktop
,nav_detalle_v34,,,,NO (tooltip desactivado),,PENDIENTE,Probar en Power BI Desktop
,nav_resumen_v34,,,,NO (tooltip desactivado),,PENDIENTE,Probar en Power BI Desktop
,nav_tracking_v34,,,,NO (tooltip desactivado),,PENDIENTE,Probar en Power BI Desktop
,route_40435689d94f81,,,,NO (tooltip desactivado),,PENDIENTE,Probar en Power BI Desktop
,sla_panel,,,,NO (tooltip desactivado),,PENDIENTE,Probar en Power BI Desktop
,summary_month,,,,NO (tooltip desactivado),,PENDIENTE,Probar en Power BI Desktop
,table_15b8b83ff48292,,,,NO (tooltip desactivado),,PENDIENTE,Probar en Power BI Desktop
,table_c57572c4abbe4d,,,,NO (tooltip desactivado),,PENDIENTE,Probar en Power BI Desktop
,tt_status,,,,NO (tooltip desactivado),,PENDIENTE,Probar en Power BI Desktop
