PAGINA,ID_VISUAL,TIPO_VISUAL,TITULO,CAMPOS,FILTROS,TOOLTIP_ACTIVO,X,Y
00 Resumen Ejecutivo Mayorista,3b0d647a439385b325bd,pivotTable,PROMEDIO DE DÍAS POR POR CANAL DE VENTA,M:RE Pedidos hito con dato;M:RE Promedio hito DH;M:RE P90 hito DH,M:RE Pedidos hito con dato;M:RE Promedio hito DH;M:RE P90 hito DH;C:PED_CANAL_CODIGO,NO,16,640
00 Resumen Ejecutivo Mayorista,8b664941e6c072783070,pivotTable,PROMEDIO DE DÍAS POR POR ZONA SANTIAGO Y REGIONES,M:RE Pedidos hito con dato;M:RE Promedio hito DH;M:RE P90 hito DH,M:RE Promedio hito DH;M:RE P90 hito DH;C:ZONA;M:RE Pedidos hito con dato,NO,16,480
00 Resumen Ejecutivo Mayorista,bg_page,shape,,,,NO,0,16
00 Resumen Ejecutivo Mayorista,btn_reset_resumen,actionButton,,,,NO,32,416
00 Resumen Ejecutivo Mayorista,chart_mensual_3m_v39,tableEx,,M:RE Evolución 3M SVG,M:RE Evolución 3M SVG,NO,235,220
00 Resumen Ejecutivo Mayorista,critical_table,tableEx,PEDIDOS CRÍTICOS · HITO DOMINANTE Y MOTIVO OPERATIVO,C:PED_NUMERO_PEDIDO;M:RE TT Cliente;M:RE TT Vendedor;C:CLASIFICACION;M:RE TT Días Top 10;M:RE TT Hito crítico;M:RE TT Exceso crítico DH;M:RE TT Motivo operativo;M:RE TT Estado SVG;M:RE TT Creación;M:RE TT Factura;M:RE TT Cierre,C:PED_NUMERO_PEDIDO;M:RE TT Cliente;M:RE TT Vendedor;C:CLASIFICACION;M:RE TT Días Top 10;M:RE TT Hito crítico;M:RE TT Exceso crítico DH;M:RE TT Motivo operativo;M:RE TT Estado SVG;M:RE TT Cierre;M:RE TT Creación;M:RE TT Factura,SI,768.0000000000001,479.99999999999994
00 Resumen Ejecutivo Mayorista,donut_flujo,tableEx,,M:RE Distribución Flujo SVG,,SI,1175.3731343283582,220.52238805970148
00 Resumen Ejecutivo Mayorista,f07bd2d60e407e2ddd01,tableEx,,M:RE KPI Pedidos SVG,,SI,592,80
00 Resumen Ejecutivo Mayorista,filter_panel,shape,,,,NO,16,80
00 Resumen Ejecutivo Mayorista,filter_title,textbox,,,,NO,30.223880597014926,86.19402985074628
00 Resumen Ejecutivo Mayorista,flow_operativo,image,,,,NO,224,80
00 Resumen Ejecutivo Mayorista,header_panel,shape,,,,NO,18,12
00 Resumen Ejecutivo Mayorista,kpi_promesa,tableEx,,M:RE KPI Promesa SVG,,SI,1248,80
00 Resumen Ejecutivo Mayorista,logo_artel,image,,,,NO,34,20
00 Resumen Ejecutivo Mayorista,matrix_hitos_resumen,pivotTable,PROMEDIO DE DÍAS POR MACROPROCESO Y HITO · MES SELECCIONADO,M:RE Promedio hito DH;M:RE P90 hito DH;M:RE Pedidos hito con dato,C:Flujo;M:RE Promedio hito DH;C:Subproceso;M:RE P90 hito DH;M:RE Pedidos hito con dato;C:Macroproceso,NO,320,479.99999999999994
00 Resumen Ejecutivo Mayorista,nav_tracking_v34,actionButton,,,,NO,655,20
00 Resumen Ejecutivo Mayorista,sla_panel,tableEx,,M:RE SLA Panel SVG,,SI,912,80
00 Resumen Ejecutivo Mayorista,slicer_clasif,slicer,,C:CLASIFICACION,,NO,30,352
00 Resumen Ejecutivo Mayorista,slicer_flujo,slicer,,C:Flujo,,NO,30,290
00 Resumen Ejecutivo Mayorista,slicer_mes_3m_v39,slicer,,C:Etiqueta,C:Etiqueta,NO,30,122
00 Resumen Ejecutivo Mayorista,slicer_zona,slicer,,C:Zona,C:Zona,NO,30,228
00 Resumen Ejecutivo Mayorista,summary_month,tableEx,,M:RE Resumen Mes SVG,M:RE Resumen Mes SVG,NO,864,224
00 Resumen Ejecutivo Mayorista,title_ns,textbox,,,,NO,208,16
00 Resumen Ejecutivo Mayorista,update_label,textbox,,,,NO,1360,25
00 Resumen Ejecutivo Mayorista,update_value,cardVisual,,,,NO,1217.910447761194,12.313432835820896
00 Resumen Ejecutivo Mayorista,window_note,tableEx,,M:RE Ventana 3M texto,,NO,34,183
01 Análisis Fuera SLA,404f2d93ca5a3787d85b,image,,,,NO,38.999999999999986,15.91048659901119
01 Análisis Fuera SLA,bg_page,shape,,,,NO,0,0
01 Análisis Fuera SLA,critical_table,tableEx,PEDIDOS CRÍTICOS DE LA SELECCIÓN · CLIC DERECHO O BOTÓN → AUDITORÍA INDIVIDUAL,C:PED_NUMERO_PEDIDO;M:RE TT Cliente;M:RE TT Vendedor;C:CLASIFICACION;M:RE TT Días Top 10;M:RE TT Hito crítico;M:RE TT Exceso crítico DH;M:RE TT Motivo operativo;M:RE TT Estado SVG;M:RE TT Creación;M:RE TT Factura;M:RE TT Cierre,C:PED_NUMERO_PEDIDO;M:RE TT Cliente;M:RE TT Vendedor;C:CLASIFICACION;M:RE TT Días Top 10;M:RE TT Hito crítico;M:RE TT Exceso crítico DH;M:RE TT Motivo operativo;M:RE TT Estado SVG;M:RE TT Cierre;M:RE TT Creación;M:RE TT Factura,SI,23.000000000000014,559.9104865990112
01 Análisis Fuera SLA,fa_btn_auditar_seleccion,actionButton,,,,NO,1175.0000000000002,527.9104865990112
