source_table,column,status,confidence,direct_reference_count,translation_reference_count,direct_consumers,dependency_kinds,downstream_tables,blocker_or_next_test
Fact_Pedidos_Auditoria,AUD_ADVERTENCIAS_FES,NO_BORRAR_SIN_PRUEBA_CONTRATO,BAJA,0,1,,,Bloque_comercial | Dim_Canal | Dim_Condicion_Expedicion | Dim_Fecha | Dim_Mes_Trend | Dim_Pedido | Dim_Responsable | Fact_Hitos_Operacionales | Fact_Pedidos | Fact_Tiempos_Hitos | Fact_Tracking | Medidas | Parámetro Agrupación SLA | Parámetro Indicadores SLA | Resultado | auditoria,Consumidor dinámico detectado (Python.Execute/Table.Schema)
Fact_Pedidos_Auditoria,AUD_ADVERTENCIAS_FLUJO_NORMAL,NO_BORRAR_SIN_PRUEBA_CONTRATO,BAJA,0,1,,,Bloque_comercial | Dim_Canal | Dim_Condicion_Expedicion | Dim_Fecha | Dim_Mes_Trend | Dim_Pedido | Dim_Responsable | Fact_Hitos_Operacionales | Fact_Pedidos | Fact_Tiempos_Hitos | Fact_Tracking | Medidas | Parámetro Agrupación SLA | Parámetro Indicadores SLA | Resultado | auditoria,Consumidor dinámico detectado (Python.Execute/Table.Schema)
Fact_Pedidos_Auditoria,AUD_ADVERTENCIAS_PRIMERO_ULTIMO,NO_BORRAR_SIN_PRUEBA_CONTRATO,BAJA,0,1,,,Bloque_comercial | Dim_Canal | Dim_Condicion_Expedicion | Dim_Fecha | Dim_Mes_Trend | Dim_Pedido | Dim_Responsable | Fact_Hitos_Operacionales | Fact_Pedidos | Fact_Tiempos_Hitos | Fact_Tracking | Medidas | Parámetro Agrupación SLA | Parámetro Indicadores SLA | Resultado | auditoria,Consumidor dinámico detectado (Python.Execute/Table.Schema)
Fact_Pedidos_Auditoria,AUD_ADVERTENCIAS_SALDO,NO_BORRAR_SIN_PRUEBA_CONTRATO,BAJA,0,1,,,Bloque_comercial | Dim_Canal | Dim_Condicion_Expedicion | Dim_Fecha | Dim_Mes_Trend | Dim_Pedido | Dim_Responsable | Fact_Hitos_Operacionales | Fact_Pedidos | Fact_Tiempos_Hitos | Fact_Tracking | Medidas | Parámetro Agrupación SLA | Parámetro Indicadores SLA | Resultado | auditoria,Consumidor dinámico detectado (Python.Execute/Table.Schema)
Fact_Pedidos_Auditoria,AUD_ALERTAS_FECHAS_ATIPICAS,NO_BORRAR_SIN_PRUEBA_CONTRATO,BAJA,0,1,,,Bloque_comercial | Dim_Canal | Dim_Condicion_Expedicion | Dim_Fecha | Dim_Mes_Trend | Dim_Pedido | Dim_Responsable | Fact_Hitos_Operacionales | Fact_Pedidos | Fact_Tiempos_Hitos | Fact_Tracking | Medidas | Parámetro Agrupación SLA | Parámetro Indicadores SLA | Resultado | auditoria,Consumidor dinámico detectado (Python.Execute/Table.Schema)
Fact_Pedidos_Auditoria,AUD_ALERTAS_HORA_00,NO_BORRAR_SIN_PRUEBA_CONTRATO,BAJA,0,1,,,Bloque_comercial | Dim_Canal | Dim_Condicion_Expedicion | Dim_Fecha | Dim_Mes_Trend | Dim_Pedido | Dim_Responsable | Fact_Hitos_Operacionales | Fact_Pedidos | Fact_Tiempos_Hitos | Fact_Tracking | Medidas | Parámetro Agrupación SLA | Parámetro Indicadores SLA | Resultado | auditoria,Consumidor dinámico detectado (Python.Execute/Table.Schema)
Fact_Pedidos_Auditoria,AUD_CANTIDAD_HITOS_FALTANTES,NO_BORRAR_SIN_PRUEBA_CONTRATO,BAJA,0,1,,,Bloque_comercial | Dim_Canal | Dim_Condicion_Expedicion | Dim_Fecha | Dim_Mes_Trend | Dim_Pedido | Dim_Responsable | Fact_Hitos_Operacionales | Fact_Pedidos | Fact_Tiempos_Hitos | Fact_Tracking | Medidas | Parámetro Agrupación SLA | Parámetro Indicadores SLA | Resultado | auditoria,Consumidor dinámico detectado (Python.Execute/Table.Schema)
Fact_Pedidos_Auditoria,AUD_CANTIDAD_HITOS_PRESENTES,NO_BORRAR_SIN_PRUEBA_CONTRATO,BAJA,0,1,,,Bloque_comercial | Dim_Canal | Dim_Condicion_Expedicion | Dim_Fecha | Dim_Mes_Trend | Dim_Pedido | Dim_Responsable | Fact_Hitos_Operacionales | Fact_Pedidos | Fact_Tiempos_Hitos | Fact_Tracking | Medidas | Parámetro Agrupación SLA | Parámetro Indicadores SLA | Resultado | auditoria,Consumidor dinámico detectado (Python.Execute/Table.Schema)
Fact_Pedidos_Auditoria,AUD_CRITICAS_FES,NO_BORRAR_SIN_PRUEBA_CONTRATO,BAJA,0,1,,,Bloque_comercial | Dim_Canal | Dim_Condicion_Expedicion | Dim_Fecha | Dim_Mes_Trend | Dim_Pedido | Dim_Responsable | Fact_Hitos_Operacionales | Fact_Pedidos | Fact_Tiempos_Hitos | Fact_Tracking | Medidas | Parámetro Agrupación SLA | Parámetro Indicadores SLA | Resultado | auditoria,Consumidor dinámico detectado (Python.Execute/Table.Schema)
Fact_Pedidos_Auditoria,AUD_CRITICAS_FLUJO_NORMAL,NO_BORRAR_SIN_PRUEBA_CONTRATO,BAJA,0,1,,,Bloque_comercial | Dim_Canal | Dim_Condicion_Expedicion | Dim_Fecha | Dim_Mes_Trend | Dim_Pedido | Dim_Responsable | Fact_Hitos_Operacionales | Fact_Pedidos | Fact_Tiempos_Hitos | Fact_Tracking | Medidas | Parámetro Agrupación SLA | Parámetro Indicadores SLA | Resultado | auditoria,Consumidor dinámico detectado (Python.Execute/Table.Schema)
