COLUMNA,TIPO_USO,ESTADO
ACCION_RECOMENDADA,REFERENCIADA_EN_SCRIPT,CONFIRMADO
ALTO,REFERENCIADA_EN_SCRIPT,CONFIRMADO
AP_TEST,REFERENCIADA_EN_SCRIPT,CONFIRMADO
ATRASADO,REFERENCIADA_EN_SCRIPT,CONFIRMADO
ATRASOS_ESPERADOS_PENDIENTES,REFERENCIADA_EN_SCRIPT,CONFIRMADO
AUC_TEST,REFERENCIADA_EN_SCRIPT,CONFIRMADO
AUD_DUPLICADOS_ENTRADA,REFERENCIADA_EN_SCRIPT,CONFIRMADO
AUD_ESTADO_GENERAL,REFERENCIADA_EN_SCRIPT,CONFIRMADO
AUD_PRINCIPAL_INCONGRUENCIA,REFERENCIADA_EN_SCRIPT,CONFIRMADO
AUD_TOTAL_CRITICAS,REFERENCIADA_EN_SCRIPT,CONFIRMADO
BAJO,REFERENCIADA_EN_SCRIPT,CONFIRMADO
BANDA_DIAS_PREDICHOS,REFERENCIADA_EN_SCRIPT,CONFIRMADO
BRIER,REFERENCIADA_EN_SCRIPT,CONFIRMADO
BRIER_TEST,REFERENCIADA_EN_SCRIPT,CONFIRMADO
CANAL,REFERENCIADA_EN_SCRIPT,CONFIRMADO
CAT_CANAL,REFERENCIADA_EN_SCRIPT,CONFIRMADO
CAT_CONDICION,REFERENCIADA_EN_SCRIPT,CONFIRMADO
CAT_CREDITO,REFERENCIADA_EN_SCRIPT,CONFIRMADO
CAT_DIA_SEMANA,REFERENCIADA_EN_SCRIPT,CONFIRMADO
CAT_REGION,REFERENCIADA_EN_SCRIPT,CONFIRMADO
CAT_SEMANA,REFERENCIADA_EN_SCRIPT,CONFIRMADO
CAT_SERVICIO,REFERENCIADA_EN_SCRIPT,CONFIRMADO
CAT_SERVICIO_PLAN,REFERENCIADA_EN_SCRIPT,CONFIRMADO
CAT_VENDEDOR,REFERENCIADA_EN_SCRIPT,CONFIRMADO
CLASIFICACION,REFERENCIADA_EN_SCRIPT,CONFIRMADO
CLIENTE,REFERENCIADA_EN_SCRIPT,CONFIRMADO
CLIENTE_NOMBRE,REFERENCIADA_EN_SCRIPT,CONFIRMADO
CRED,REFERENCIADA_EN_SCRIPT,CONFIRMADO
CREDITO,REFERENCIADA_EN_SCRIPT,CONFIRMADO
CRITICO,REFERENCIADA_EN_SCRIPT,CONFIRMADO
CUMPLE,REFERENCIADA_EN_SCRIPT,CONFIRMADO
DESP,REFERENCIADA_EN_SCRIPT,CONFIRMADO
DESPACHO,REFERENCIADA_EN_SCRIPT,CONFIRMADO
DH_CREDITO,REFERENCIADA_EN_SCRIPT,CONFIRMADO
DH_CREDITO_A_PRIMERA_ENTREGA,REFERENCIADA_EN_SCRIPT,CONFIRMADO
DH_CREDITO_COBRANZAS,REFERENCIADA_EN_SCRIPT,CONFIRMADO
DH_DESPACHO,REFERENCIADA_EN_SCRIPT,CONFIRMADO
DH_ENTREGA_COMPLETA_100,REQUIRED (obligatoria),CONFIRMADO
DH_FACTURACION,REFERENCIADA_EN_SCRIPT,CONFIRMADO
DH_FASE_LENTA,REFERENCIADA_EN_SCRIPT,CONFIRMADO
DH_OPERACIONES,REFERENCIADA_EN_SCRIPT,CONFIRMADO
DH_OPERACION_INTERNA,REFERENCIADA_EN_SCRIPT,CONFIRMADO
DH_PICKING,REFERENCIADA_EN_SCRIPT,CONFIRMADO
DH_PREDICHO_BASE_ML,REFERENCIADA_EN_SCRIPT,CONFIRMADO
DH_PREDICHO_ML,REFERENCIADA_EN_SCRIPT,CONFIRMADO
DH_PRIMERA_ENTREGA_A_PRIMER_PICKING,REFERENCIADA_EN_SCRIPT,CONFIRMADO
DH_PRIMER_PACKING_A_PRIMERA_FACTURA,REFERENCIADA_EN_SCRIPT,CONFIRMADO
DH_PRIMER_PICKING_A_PRIMERA_FACTURA,REFERENCIADA_EN_SCRIPT,CONFIRMADO
DH_TOTAL,REFERENCIADA_EN_SCRIPT,CONFIRMADO
DIAS_ACTUALES_DH,REFERENCIADA_EN_SCRIPT,CONFIRMADO
DIAS_EN_ESTADO_DH,REFERENCIADA_EN_SCRIPT,CONFIRMADO
DIAS_INTERNOS_DH,REFERENCIADA_EN_SCRIPT,CONFIRMADO
DIAS_RESTANTES_DH,REFERENCIADA_EN_SCRIPT,CONFIRMADO
DIAS_RESTANTES_PREDICHOS,REFERENCIADA_EN_SCRIPT,CONFIRMADO
