VBELV,VBTYP_V,VBELN,VBTYP_N,ERDAT,ERZET
91786497,M,0001168399,C,31-07-2026,122834
91786497,M,0001168399,C,31-07-2026,122834
91786497,M,0001168399,C,31-07-2026,122834
91786497,M,0001168399,C,31-07-2026,122834
91786497,M,0001168399,C,31-07-2026,122834
91786497,M,0001168399,C,31-07-2026,122834
91786497,M,0001168399,C,31-07-2026,122834
91786497,M,0001168399,C,31-07-2026,122834
91786497,M,0001168399,C,31-07-2026,122834
82393186,J,0001168399,C,31-07-2026,122834
82393186,J,0001168399,C,31-07-2026,122834
82393186,J,0001168399,C,31-07-2026,122834
82393186,J,0001168399,C,31-07-2026,122834
82393186,J,0001168399,C,31-07-2026,122834
82393186,J,0001168399,C,31-07-2026,122834
82393186,J,0001168399,C,31-07-2026,122834
82393186,J,0001168399,C,31-07-2026,122834
82393185,J,0001168398,C,31-07-2026,122832
82393185,J,0001168398,C,31-07-2026,122832
82393185,J,0001168398,C,31-07-2026,122832
91786473,M,0001168398,C,31-07-2026,122832
91786473,M,0001168398,C,31-07-2026,122832
91786473,M,0001168398,C,31-07-2026,122832
91786473,M,0001168398,C,31-07-2026,122832
91786522,M,0001168397,C,31-07-2026,122830
91786522,M,0001168397,C,31-07-2026,122830
91786522,M,0001168397,C,31-07-2026,122830
91786522,M,0001168397,C,31-07-2026,122830
91786522,M,0001168397,C,31-07-2026,122830
91786522,M,0001168397,C,31-07-2026,122830
91786522,M,0001168397,C,31-07-2026,122830
91786522,M,0001168397,C,31-07-2026,122830
91786522,M,0001168397,C,31-07-2026,122830
91786522,M,0001168397,C,31-07-2026,122830
91786522,M,0001168397,C,31-07-2026,122830
91786522,M,0001168397,C,31-07-2026,122830
82393184,J,0001168397,C,31-07-2026,122830
82393184,J,0001168397,C,31-07-2026,122830
82393184,J,0001168397,C,31-07-2026,122830
82393184,J,0001168397,C,31-07-2026,122830
82393184,J,0001168397,C,31-07-2026,122830
82393184,J,0001168397,C,31-07-2026,122830
82393184,J,0001168397,C,31-07-2026,122830
82393184,J,0001168397,C,31-07-2026,122830
82393184,J,0001168397,C,31-07-2026,122830
82393184,J,0001168397,C,31-07-2026,122830
82393184,J,0001168397,C,31-07-2026,122830
82393183,J,0001168396,C,31-07-2026,122829
91786521,M,0001168396,C,31-07-2026,122829
91786521,M,0001168396,C,31-07-2026,122829
91786529,M,0001168395,C,31-07-2026,122826
91786529,M,0001168395,C,31-07-2026,122826
91786529,M,0001168395,C,31-07-2026,122826
91786529,M,0001168395,C,31-07-2026,122826
91786529,M,0001168395,C,31-07-2026,122826
91786529,M,0001168395,C,31-07-2026,122826
91786529,M,0001168395,C,31-07-2026,122826
91786529,M,0001168395,C,31-07-2026,122826
91786529,M,0001168395,C,31-07-2026,122826
91786529,M,0001168395,C,31-07-2026,122826
91786529,M,0001168395,C,31-07-2026,122826
91786529,M,0001168395,C,31-07-2026,122826
91786529,M,0001168395,C,31-07-2026,122826
91786529,M,0001168395,C,31-07-2026,122826
91786529,M,0001168395,C,31-07-2026,122826
91786529,M,0001168395,C,31-07-2026,122826
91786529,M,0001168395,C,31-07-2026,122826
91786529,M,0001168395,C,31-07-2026,122826
91786529,M,0001168395,C,31-07-2026,122826
91786529,M,0001168395,C,31-07-2026,122826
91786529,M,0001168395,C,31-07-2026,122826
91786529,M,0001168395,C,31-07-2026,122826
91786529,M,0001168395,C,31-07-2026,122826
91786529,M,0001168395,C,31-07-2026,122826
91786529,M,0001168395,C,31-07-2026,122826
91786529,M,0001168395,C,31-07-2026,122826
82393182,J,0001168395,C,31-07-2026,122826
82393182,J,0001168395,C,31-07-2026,122826
82393182,J,0001168395,C,31-07-2026,122826
82393182,J,0001168395,C,31-07-2026,122826
82393182,J,0001168395,C,31-07-2026,122826
82393182,J,0001168395,C,31-07-2026,122826
82393182,J,0001168395,C,31-07-2026,122826
82393182,J,0001168395,C,31-07-2026,122826
82393182,J,0001168395,C,31-07-2026,122826
82393182,J,0001168395,C,31-07-2026,122826
82393182,J,0001168395,C,31-07-2026,122826
82393182,J,0001168395,C,31-07-2026,122826
82393182,J,0001168395,C,31-07-2026,122826
82393182,J,0001168395,C,31-07-2026,122826
82393182,J,0001168395,C,31-07-2026,122826
82393182,J,0001168395,C,31-07-2026,122826
82393182,J,0001168395,C,31-07-2026,122826
82393182,J,0001168395,C,31-07-2026,122826
82393182,J,0001168395,C,31-07-2026,122826
82393182,J,0001168395,C,31-07-2026,122826
82393182,J,0001168395,C,31-07-2026,122826
82393182,J,0001168395,C,31-07-2026,122826
82393182,J,0001168395,C,31-07-2026,122826
82393182,J,0001168395,C,31-07-2026,122826
82393182,J,0001168395,C,31-07-2026,122826
82393181,J,0001168394,C,31-07-2026,122823
82393181,J,0001168394,C,31-07-2026,122823
82393181,J,0001168394,C,31-07-2026,122823
82393181,J,0001168394,C,31-07-2026,122823
82393181,J,0001168394,C,31-07-2026,122823
82393181,J,0001168394,C,31-07-2026,122823
82393181,J,0001168394,C,31-07-2026,122823
82393181,J,0001168394,C,31-07-2026,122823
82393181,J,0001168394,C,31-07-2026,122823
82393181,J,0001168394,C,31-07-2026,122823
82393181,J,0001168394,C,31-07-2026,122823
82393181,J,0001168394,C,31-07-2026,122823
82393181,J,0001168394,C,31-07-2026,122823
82393181,J,0001168394,C,31-07-2026,122823
82393181,J,0001168394,C,31-07-2026,122823
82393181,J,0001168394,C,31-07-2026,122823
82393181,J,0001168394,C,31-07-2026,122823
82393181,J,0001168394,C,31-07-2026,122823
82393181,J,0001168394,C,31-07-2026,122823
82393181,J,0001168394,C,31-07-2026,122823
82393181,J,0001168394,C,31-07-2026,122823
82393181,J,0001168394,C,31-07-2026,122823
82393181,J,0001168394,C,31-07-2026,122823
82393181,J,0001168394,C,31-07-2026,122823
82393181,J,0001168394,C,31-07-2026,122823
82393181,J,0001168394,C,31-07-2026,122823
82393181,J,0001168394,C,31-07-2026,122823
91786472,M,0001168394,C,31-07-2026,122823
91786472,M,0001168394,C,31-07-2026,122823
91786472,M,0001168394,C,31-07-2026,122823
91786472,M,0001168394,C,31-07-2026,122823
91786472,M,0001168394,C,31-07-2026,122823
91786472,M,0001168394,C,31-07-2026,122823
91786472,M,0001168394,C,31-07-2026,122823
91786472,M,0001168394,C,31-07-2026,122823
91786472,M,0001168394,C,31-07-2026,122823
91786472,M,0001168394,C,31-07-2026,122823
91786472,M,0001168394,C,31-07-2026,122823
91786472,M,0001168394,C,31-07-2026,122823
91786472,M,0001168394,C,31-07-2026,122823
91786472,M,0001168394,C,31-07-2026,122823
91786472,M,0001168394,C,31-07-2026,122823
91786472,M,0001168394,C,31-07-2026,122823
91786472,M,0001168394,C,31-07-2026,122823
