VBELV,VBTYP_V,VBELN,VBTYP_N,ERDAT,ERZET
82393181,J,0001168394,C,31-07-2026,122823
82393181,J,0001168394,C,31-07-2026,122823
82393181,J,0001168394,C,31-07-2026,122823
82393181,J,0001168394,C,31-07-2026,122823
82393181,J,0001168394,C,31-07-2026,122823
82393181,J,0001168394,C,31-07-2026,122823
82393181,J,0001168394,C,31-07-2026,122823
82393181,J,0001168394,C,31-07-2026,122823
82393181,J,0001168394,C,31-07-2026,122823
82393181,J,0001168394,C,31-07-2026,122823
82393181,J,0001168394,C,31-07-2026,122823
82393181,J,0001168394,C,31-07-2026,122823
82393181,J,0001168394,C,31-07-2026,122823
82393181,J,0001168394,C,31-07-2026,122823
82393181,J,0001168394,C,31-07-2026,122823
82393181,J,0001168394,C,31-07-2026,122823
82393181,J,0001168394,C,31-07-2026,122823
82393181,J,0001168394,C,31-07-2026,122823
82393182,J,0001168395,C,31-07-2026,122826
82393182,J,0001168395,C,31-07-2026,122826
82393182,J,0001168395,C,31-07-2026,122826
82393182,J,0001168395,C,31-07-2026,122826
82393182,J,0001168395,C,31-07-2026,122826
82393182,J,0001168395,C,31-07-2026,122826
82393182,J,0001168395,C,31-07-2026,122826
82393182,J,0001168395,C,31-07-2026,122826
82393182,J,0001168395,C,31-07-2026,122826
82393182,J,0001168395,C,31-07-2026,122826
82393182,J,0001168395,C,31-07-2026,122826
82393182,J,0001168395,C,31-07-2026,122826
82393182,J,0001168395,C,31-07-2026,122826
82393182,J,0001168395,C,31-07-2026,122826
82393182,J,0001168395,C,31-07-2026,122826
82393182,J,0001168395,C,31-07-2026,122826
82393182,J,0001168395,C,31-07-2026,122826
82393182,J,0001168395,C,31-07-2026,122826
82393182,J,0001168395,C,31-07-2026,122826
82393182,J,0001168395,C,31-07-2026,122826
82393182,J,0001168395,C,31-07-2026,122826
82393182,J,0001168395,C,31-07-2026,122826
82393182,J,0001168395,C,31-07-2026,122826
82393182,J,0001168395,C,31-07-2026,122826
82393182,J,0001168395,C,31-07-2026,122826
82393183,J,0001168396,C,31-07-2026,122829
82393184,J,0001168397,C,31-07-2026,122830
82393184,J,0001168397,C,31-07-2026,122830
82393184,J,0001168397,C,31-07-2026,122830
82393184,J,0001168397,C,31-07-2026,122830
82393184,J,0001168397,C,31-07-2026,122830
82393184,J,0001168397,C,31-07-2026,122830
82393184,J,0001168397,C,31-07-2026,122830
82393184,J,0001168397,C,31-07-2026,122830
82393184,J,0001168397,C,31-07-2026,122830
82393184,J,0001168397,C,31-07-2026,122830
82393184,J,0001168397,C,31-07-2026,122830
82393185,J,0001168398,C,31-07-2026,122832
82393185,J,0001168398,C,31-07-2026,122832
82393185,J,0001168398,C,31-07-2026,122832
82393186,J,0001168399,C,31-07-2026,122834
82393186,J,0001168399,C,31-07-2026,122834
82393186,J,0001168399,C,31-07-2026,122834
82393186,J,0001168399,C,31-07-2026,122834
82393186,J,0001168399,C,31-07-2026,122834
82393186,J,0001168399,C,31-07-2026,122834
82393186,J,0001168399,C,31-07-2026,122834
82393186,J,0001168399,C,31-07-2026,122834
82393099,J,0001168320,C,31-07-2026,122554
82393100,J,0001168321,C,31-07-2026,122556
82393100,J,0001168321,C,31-07-2026,122556
82393100,J,0001168321,C,31-07-2026,122556
82393101,J,0001168322,C,31-07-2026,122557
82393102,J,0001168323,C,31-07-2026,122558
82393102,J,0001168323,C,31-07-2026,122558
82393103,J,0001168324,C,31-07-2026,122600
82393104,J,0001168325,C,31-07-2026,122602
82393104,J,0001168325,C,31-07-2026,122602
82393105,J,0001168326,C,31-07-2026,122604
82393105,J,0001168326,C,31-07-2026,122604
82393105,J,0001168326,C,31-07-2026,122604
82393106,J,0001168327,C,31-07-2026,122605
82393107,J,0001168328,C,31-07-2026,122606
82393108,J,0001168329,C,31-07-2026,122608
82393109,J,0001168330,C,31-07-2026,122609
82393110,J,0001168331,C,31-07-2026,122610
82393111,J,0001168332,C,31-07-2026,122611
82393111,J,0001168332,C,31-07-2026,122611
82393111,J,0001168332,C,31-07-2026,122611
82393112,J,0001168333,C,31-07-2026,122613
82393113,J,0001168334,C,31-07-2026,122615
82393114,J,0001168335,C,31-07-2026,122616
82393115,J,0001168336,C,31-07-2026,122617
82393116,J,0001168337,C,31-07-2026,122619
82393117,J,0001168338,C,31-07-2026,122620
82393117,J,0001168338,C,31-07-2026,122620
82393118,J,0001168339,C,31-07-2026,122621
82393120,J,0001168340,C,31-07-2026,122623
82393120,J,0001168340,C,31-07-2026,122623
82393123,J,0001168341,C,31-07-2026,122624
82393124,J,0001168342,C,31-07-2026,122625
82393125,J,0001168343,C,31-07-2026,122627
82393126,J,0001168344,C,31-07-2026,122628
82393127,J,0001168345,C,31-07-2026,122630
82393128,J,0001168346,C,31-07-2026,122631
82393128,J,0001168346,C,31-07-2026,122631
82393128,J,0001168346,C,31-07-2026,122631
82393128,J,0001168346,C,31-07-2026,122631
82393128,J,0001168346,C,31-07-2026,122631
82393128,J,0001168346,C,31-07-2026,122631
82393128,J,0001168346,C,31-07-2026,122631
82393128,J,0001168346,C,31-07-2026,122631
82393128,J,0001168346,C,31-07-2026,122631
82393129,J,0001168347,C,31-07-2026,122633
82393130,J,0001168348,C,31-07-2026,122635
82393130,J,0001168348,C,31-07-2026,122635
82393130,J,0001168348,C,31-07-2026,122635
82393131,J,0001168349,C,31-07-2026,122637
82393132,J,0001168350,C,31-07-2026,122638
82393132,J,0001168350,C,31-07-2026,122638
82393133,J,0001168351,C,31-07-2026,122640
82393133,J,0001168351,C,31-07-2026,122640
82393133,J,0001168351,C,31-07-2026,122640
82393133,J,0001168351,C,31-07-2026,122640
82393133,J,0001168351,C,31-07-2026,122640
82393133,J,0001168351,C,31-07-2026,122640
82393133,J,0001168351,C,31-07-2026,122640
82393133,J,0001168351,C,31-07-2026,122640
82393133,J,0001168351,C,31-07-2026,122640
82393133,J,0001168351,C,31-07-2026,122640
82393133,J,0001168351,C,31-07-2026,122640
82393133,J,0001168351,C,31-07-2026,122640
82393134,J,0001168352,C,31-07-2026,122642
82393134,J,0001168352,C,31-07-2026,122642
82393134,J,0001168352,C,31-07-2026,122642
82393134,J,0001168352,C,31-07-2026,122642
82393135,J,0001168353,C,31-07-2026,122644
82393135,J,0001168353,C,31-07-2026,122644
82393135,J,0001168353,C,31-07-2026,122644
82393135,J,0001168353,C,31-07-2026,122644
82393135,J,0001168353,C,31-07-2026,122644
82393136,J,0001168354,C,31-07-2026,122646
82393137,J,0001168355,C,31-07-2026,122647
82393138,J,0001168356,C,31-07-2026,122648
82393139,J,0001168357,C,31-07-2026,122650
82393140,J,0001168358,C,31-07-2026,122651
82393140,J,0001168358,C,31-07-2026,122651
82393140,J,0001168358,C,31-07-2026,122651
82393140,J,0001168358,C,31-07-2026,122651
82393140,J,0001168358,C,31-07-2026,122651
82393140,J,0001168358,C,31-07-2026,122651
82393140,J,0001168358,C,31-07-2026,122651
82393141,J,0001168359,C,31-07-2026,122653
82393141,J,0001168359,C,31-07-2026,122653
82393141,J,0001168359,C,31-07-2026,122653
82393141,J,0001168359,C,31-07-2026,122653
82393141,J,0001168359,C,31-07-2026,122653
82393142,J,0001168360,C,31-07-2026,122655
82393142,J,0001168360,C,31-07-2026,122655
82393142,J,0001168360,C,31-07-2026,122655
82393142,J,0001168360,C,31-07-2026,122655
82393142,J,0001168360,C,31-07-2026,122655
82393142,J,0001168360,C,31-07-2026,122655
82393142,J,0001168360,C,31-07-2026,122655
82393142,J,0001168360,C,31-07-2026,122655
82393142,J,0001168360,C,31-07-2026,122655
82393142,J,0001168360,C,31-07-2026,122655
82393142,J,0001168360,C,31-07-2026,122655
82393142,J,0001168360,C,31-07-2026,122655
82393142,J,0001168360,C,31-07-2026,122655
82393142,J,0001168360,C,31-07-2026,122655
82393142,J,0001168360,C,31-07-2026,122655
82393142,J,0001168360,C,31-07-2026,122655
82393142,J,0001168360,C,31-07-2026,122655
82393142,J,0001168360,C,31-07-2026,122655
82393142,J,0001168360,C,31-07-2026,122655
82393142,J,0001168360,C,31-07-2026,122655
82393142,J,0001168360,C,31-07-2026,122655
82393142,J,0001168360,C,31-07-2026,122655
82393142,J,0001168360,C,31-07-2026,122655
82393142,J,0001168360,C,31-07-2026,122655
82393142,J,0001168360,C,31-07-2026,122655
82393142,J,0001168360,C,31-07-2026,122655
82393142,J,0001168360,C,31-07-2026,122655
82393143,J,0001168361,C,31-07-2026,122658
82393143,J,0001168361,C,31-07-2026,122658
82393143,J,0001168361,C,31-07-2026,122658
82393143,J,0001168361,C,31-07-2026,122658
82393143,J,0001168361,C,31-07-2026,122658
82393143,J,0001168361,C,31-07-2026,122658
82393143,J,0001168361,C,31-07-2026,122658
82393143,J,0001168361,C,31-07-2026,122658
82393143,J,0001168361,C,31-07-2026,122658
82393143,J,0001168361,C,31-07-2026,122658
82393143,J,0001168361,C,31-07-2026,122658
82393143,J,0001168361,C,31-07-2026,122658
82393143,J,0001168361,C,31-07-2026,122658
82393143,J,0001168361,C,31-07-2026,122658
82393143,J,0001168361,C,31-07-2026,122658
82393143,J,0001168361,C,31-07-2026,122658
82393143,J,0001168361,C,31-07-2026,122658
82393143,J,0001168361,C,31-07-2026,122658
