VBELV,VBELN,REPETICIONES
91785007,0001167734,28
91785214,0001167909,2
91782084,0001166281,28
82383663,0001166816,27
82389363,0001167929,27
82379248,0001166151,27
82383879,0001166974,13
82388807,0001167691,27
82383870,0001166968,17
82388656,0001167559,22
91782009,0001166203,2
82383771,0001166929,12
82379345,0001166242,27
82379394,0001166281,27
91783614,0001167017,2
82383647,0001166800,27
82388451,0001167566,4
91785230,0001167899,2
82383834,0001166944,27
91782165,0001166340,2
91784717,0001167396,28
82379323,0001166219,6
91785028,0001167724,28
82379269,0001166172,4
91785367,0001168014,29
91784719,0001167398,2
91784802,0001167424,2
91782029,0001166181,28
82379355,0001166252,14
91785145,0001167840,2
91784792,0001167421,4
91783547,0001166976,14
82388569,0001167535,7
82388180,0001167454,5
82379255,0001166158,8
91785121,0001167776,2
82388891,0001167743,27
91782110,0001166272,28
91782119,0001166237,13
91784821,0001167460,2
82379317,0001166213,5
91783459,0001166927,5
82388181,0001167455,6
82379321,0001166217,19
91783488,0001166959,4
82383364,0001166729,16
82388647,0001167550,27
91784915,0001167533,28
82388164,0001167438,14
91782121,0001166225,28
82393133,0001168351,12
91784940,0001167550,28
91785164,0001167851,8
91782173,0001166338,28
91784849,0001167496,3
82383374,0001166735,11
91782185,0001166372,5
91784730,0001167382,2
82393178,0001168391,7
91783373,0001166792,6
91784716,0001167395,28
91786467,0001168361,28
82388907,0001167758,3
82379653,0001166337,12
91783597,0001167000,2
91786470,0001168376,12
82388124,0001167403,20
82393184,0001168397,11
82388889,0001167741,9
91782089,0001166287,9
82383843,0001166958,27
91781916,0001166148,28
91782011,0001166201,28
82388908,0001167759,27
91785035,0001167731,19
91785090,0001167820,2
91783477,0001166944,28
82379660,0001166309,5
82379266,0001166169,20
91783442,0001166911,2
82384054,0001167003,3
91784968,0001167669,16
82379270,0001166173,2
91785172,0001167866,28
91785215,0001167910,2
91785281,0001167936,15
82388192,0001167466,24
82383388,0001166781,3
82388112,0001167391,7
91784986,0001167704,28
91783528,0001166981,2
91785033,0001167729,4
91783293,0001166728,2
82389380,0001167939,25
82393180,0001168393,8
82389019,0001167794,26
82383877,0001166972,27
91785067,0001167653,4
91785362,0001168042,28
91785197,0001167891,2
91785038,0001167748,9
82379395,0001166282,27
91786455,0001168332,4
82389017,0001167650,16
91783481,0001166853,12
91785132,0001167788,13
91786451,0001168382,16
82383773,0001166931,10
91783409,0001166814,2
91785309,0001167953,24
91782076,0001166172,5
82379329,0001166225,27
91784955,0001167684,21
91785363,0001168043,22
91785086,0001167816,2
91783512,0001166972,28
91783492,0001166941,28
91786508,0001168328,2
91782136,0001166271,2
91784959,0001167676,28
91783443,0001166912,2
82389569,0001168004,14
91783522,0001166984,28
82384055,0001167004,9
82388915,0001167617,27
82379659,0001166342,20
82383854,0001166961,27
91785122,0001167777,2
91785340,0001167995,7
82383715,0001166835,10
91786520,0001168355,2
91785031,0001167727,28
82379350,0001166247,27
91785143,0001167790,28
82383943,0001166975,6
91785051,0001167755,28
91785096,0001167826,2
82389081,0001167888,3
82388896,0001167748,8
82393173,0001168389,11
82383763,0001166921,8
82383946,0001166977,2
82383758,0001166916,14
91783611,0001166996,6
91783307,0001166707,28
91786501,0001168372,2
91784805,0001167416,28
91784782,0001167414,28
91784788,0001167432,2
82388452,0001167504,2
82379313,0001166209,27
91784950,0001167562,11
82389025,0001167798,27
82388572,0001167536,7
91783315,0001166727,18
91782130,0001166245,28
91782023,0001166190,2
82383658,0001166811,3
82388862,0001167713,27
91783303,0001166714,28
91783505,0001166961,28
82388867,0001167718,5
82388961,0001167785,27
82379302,0001166199,10
91783550,0001166977,3
91786525,0001168366,12
91784970,0001167668,15
82389104,0001168014,28
91785341,0001167978,2
91786518,0001168347,2
82388897,0001167749,27
82389376,0001167935,15
82379324,0001166220,27
91785043,0001167742,16
82388960,0001167784,27
82393145,0001168363,13
91786514,0001168357,2
91782006,0001166149,2
91783598,0001167001,8
82388116,0001167395,27
91785326,0001167985,2
91785346,0001167998,2
82388175,0001167449,27
91783417,0001166809,15
82393182,0001168395,25
82389068,0001167862,27
82388883,0001167734,27
82384049,0001166998,27
82379253,0001166156,10
91783414,0001166819,28
91782075,0001166171,28
82379299,0001166195,27
82389069,0001167863,27
91785198,0001167892,2
91782095,0001166224,23
82388161,0001167435,9
91782091,0001166230,28
91783470,0001166939,28
82388121,0001167400,27
82383871,0001166863,2
91782036,0001166191,28
82388968,0001167793,6
91784994,0001167692,12
91784947,0001167558,9
91785300,0001167963,27
82389617,0001168043,21
91783514,0001166974,14
82379256,0001166159,10
91784931,0001167541,8
91784937,0001167547,2
82379275,0001166178,2
91784729,0001167410,7
91782046,0001166214,2
82388779,0001167671,23
91785163,0001167794,27
91784810,0001167465,13
82388814,0001167698,7
91785293,0001167956,28
91781887,0001166147,17
91782035,0001166205,16
82379841,0001166378,14
82388890,0001167742,15
91785139,0001167770,28
91783497,0001166964,8
91785118,0001167806,2
82383656,0001166809,14
82383399,0001166777,5
91783377,0001166795,27
91785228,0001167923,2
91783297,0001166722,2
82383847,0001166948,23
82388969,0001167648,3
91785334,0001167990,3
82393157,0001168373,2
82388114,0001167393,2
91786513,0001168333,2
91786484,0001168392,24
91785082,0001167812,2
91784784,0001167442,2
82379259,0001166162,12
91785210,0001167905,2
91784958,0001167667,24
91785291,0001167954,7
91782085,0001166282,28
82383937,0001166984,27
91784904,0001167528,18
91786512,0001168356,2
82383670,0001166823,4
82384058,0001167007,27
91783609,0001167012,28
91782145,0001166275,28
82388738,0001167652,9
82388788,0001167678,27
82379389,0001166276,2
91784993,0001167691,28
91783527,0001166983,11
91785021,0001167718,6
91782133,0001166248,28
91782054,0001166213,6
91783380,0001166798,23
91782062,0001166156,11
91785128,0001167803,2
82388107,0001167389,11
82388780,0001167672,13
91785105,0001167835,2
91782077,0001166257,2
91783516,0001166864,11
82388881,0001167732,3
82388645,0001167548,27
82379322,0001166218,12
91782200,0001166381,17
91784983,0001167652,10
91783312,0001166731,17
82383861,0001166966,18
91783295,0001166706,19
82388108,0001167390,15
91785160,0001167856,2
91783506,0001166960,2
82388457,0001167509,10
91784977,0001167688,7
91784871,0001167566,5
82389390,0001167949,21
91782134,0001166249,13
82379289,0001166187,27
82384053,0001167002,27
82388817,0001167701,27
91786502,0001168343,2
82388104,0001167386,14
82383839,0001166954,14
91785041,0001167741,10
91785222,0001167917,2
91786516,0001168349,2
91783400,0001166801,25
91783296,0001166729,17
91783510,0001166968,18
82383751,0001166909,27
91785012,0001167739,28
91785180,0001167873,2
82383640,0001166797,20
82383671,0001166824,26
91785123,0001167778,2
91782060,0001166157,7
91783403,0001166802,2
82388179,0001167453,3
82393132,0001168350,2
91785303,0001167965,28
91786475,0001168346,10
82383942,0001166989,20
82379276,0001166179,27
91785285,0001167933,9
82388311,0001167496,2
91783480,0001166952,20
