PEDIDO_ORIGINAL,PRIMERA_FECHA,ULTIMA_FECHA,CANTIDAD_EVENTOS
82388737,2026-07-01,2026-07-01,2
82388809,2026-07-01,2026-07-01,1
82388960,2026-07-01,2026-07-01,27
91785156,2026-07-01,2026-07-01,2
91783379,2026-05-29,2026-05-29,21
91785231,2026-07-01,2026-07-01,2
91783505,2026-06-01,2026-06-01,28
91786463,2026-07-31,2026-07-31,5
91782028,2026-05-04,2026-05-04,2
82383344,2026-05-28,2026-05-28,28
82388779,2026-07-01,2026-07-01,23
82384072,2026-06-01,2026-06-01,8
82393184,2026-07-31,2026-07-31,11
82379645,2026-05-04,2026-05-04,7
91785092,2026-07-01,2026-07-01,2
91786520,2026-07-31,2026-07-31,2
91784827,2026-06-26,2026-06-26,2
82383351,2026-05-28,2026-05-28,27
82388897,2026-07-01,2026-07-01,27
91785304,2026-07-02,2026-07-02,2
91783619,2026-06-01,2026-06-01,2
91784956,2026-07-01,2026-07-01,28
82389403,2026-07-02,2026-07-02,27
82379353,2026-05-04,2026-05-04,1
82393140,2026-07-31,2026-07-31,7
82379646,2026-05-04,2026-05-04,1
91785004,2026-07-01,2026-07-01,28
91783399,2026-05-29,2026-05-29,28
91784726,2026-06-26,2026-06-26,28
82388116,2026-06-26,2026-06-26,27
82388786,2026-07-01,2026-07-01,27
82388154,2026-06-26,2026-06-26,20
82389071,2026-07-01,2026-07-01,27
82383862,2026-06-01,2026-06-01,16
91783302,2026-05-28,2026-05-28,28
91783293,2026-05-28,2026-05-28,2
82393172,2026-07-31,2026-07-31,1
82379841,2026-05-04,2026-05-04,14
91785062,2026-07-01,2026-07-01,10
91785088,2026-07-01,2026-07-01,2
91782166,2026-05-04,2026-05-04,3
82388966,2026-07-01,2026-07-01,12
82388460,2026-06-30,2026-06-30,11
82379340,2026-05-04,2026-05-04,12
82379386,2026-05-04,2026-05-04,3
82393110,2026-07-31,2026-07-31,1
82393169,2026-07-31,2026-07-31,22
91785139,2026-07-01,2026-07-01,28
91785164,2026-07-01,2026-07-01,8
91785342,2026-07-02,2026-07-02,2
91782079,2026-05-04,2026-05-04,28
91782134,2026-05-04,2026-05-04,13
91784859,2026-06-30,2026-06-30,17
82389027,2026-07-01,2026-07-01,1
82389384,2026-07-02,2026-07-02,1
91783498,2026-06-01,2026-06-01,6
91784812,2026-06-26,2026-06-26,3
91783477,2026-06-01,2026-06-01,28
82388785,2026-07-01,2026-07-01,26
91783296,2026-05-28,2026-05-28,17
91785222,2026-07-01,2026-07-01,2
91783417,2026-05-29,2026-05-29,15
91783509,2026-06-01,2026-06-01,28
91785351,2026-07-02,2026-07-02,15
82383637,2026-05-29,2026-05-29,27
82388872,2026-07-01,2026-07-01,27
82379279,2026-05-04,2026-05-04,27
82388659,2026-06-30,2026-06-30,10
82393114,2026-07-31,2026-07-31,1
