VBELN,TKNUM,ERDAT,ERZET,PKSTA
82392805,112962,2026-07-31 13:16:13,131613, 
82392806,112962,2026-07-31 13:16:13,131613, 
82392984,112962,2026-07-31 13:16:13,131613, 
82392985,112962,2026-07-31 13:16:13,131613, 
82392745,113002,2026-07-31 12:25:11,122511, 
82392781,113002,2026-07-31 12:25:11,122511, 
82392750,113001,2026-07-31 12:23:14,122314, 
82392768,113001,2026-07-31 12:23:14,122314, 
82392786,113001,2026-07-31 12:23:14,122314, 
82392989,112996,2026-07-31 12:20:57,122057, 
82392990,112995,2026-07-31 12:20:10,122010, 
82392979,112994,2026-07-31 12:19:20,121920, 
82392751,113000,2026-07-31 12:18:48,121848, 
82392787,113000,2026-07-31 12:18:48,121848, 
82392981,112993,2026-07-31 12:18:36,121836, 
82392978,112992,2026-07-31 12:17:49,121749, 
82392744,112989,2026-07-31 12:17:07,121707, 
82392762,112989,2026-07-31 12:17:07,121707, 
82392780,112989,2026-07-31 12:17:07,121707, 
82392980,112991,2026-07-31 12:16:55,121655, 
82392590,112990,2026-07-31 12:16:04,121604, 
82392752,112988,2026-07-31 12:15:06,121506, 
82392770,112988,2026-07-31 12:15:06,121506, 
82392788,112988,2026-07-31 12:15:06,121506, 
82392748,112987,2026-07-31 12:13:08,121308, 
82392784,112987,2026-07-31 12:13:08,121308, 
82392748,112986,2026-07-31 12:10:58,121058, 
82392784,112986,2026-07-31 12:10:58,121058, 
82392747,112985,2026-07-31 12:08:58,120858, 
82392783,112985,2026-07-31 12:08:58,120858, 
82392746,112984,2026-07-31 12:07:24,120724, 
82392782,112984,2026-07-31 12:07:24,120724, 
82392642,112983,2026-07-31 12:03:34,120334, 
82392643,112982,2026-07-31 12:01:35,120135, 
82392649,112981,2026-07-31 11:59:54,115954, 
82392515,112980,2026-07-31 11:57:37,115737, 
82392758,112980,2026-07-31 11:57:37,115737, 
82392795,112980,2026-07-31 11:57:37,115737, 
82392749,112979,2026-07-31 11:53:49,115349, 
82392785,112979,2026-07-31 11:53:49,115349, 
82392513,112978,2026-07-31 11:52:03,115203, 
82392514,112978,2026-07-31 11:52:03,115203, 
82392757,112978,2026-07-31 11:52:03,115203, 
82392793,112978,2026-07-31 11:52:03,115203, 
82392511,112977,2026-07-31 11:49:09,114909, 
82392512,112977,2026-07-31 11:49:09,114909, 
82392756,112977,2026-07-31 11:49:09,114909, 
82392792,112977,2026-07-31 11:49:09,114909, 
82392516,112976,2026-07-31 11:46:34,114634, 
82392517,112976,2026-07-31 11:46:34,114634, 
