Visual,Tipo,X,Y,W,H
shape_ed7d494e768744,shape,0,-4,1600,944
6c8984e9e3638827d0cd,shape,0,0,1600,64
f4bba81fb89445b90585,image,0,0,160,48
text_6d7cf337c16a45,textbox,160,0,463.99999999999994,64
128939765c77060c0329,cardVisual,1392,0,208,64
f8b08f94a955cbeb6023,actionButton,656,16,160,32
d5345496756b409e131d,actionButton,832,16,160,32
ed66dbc00d2909038e40,tableEx,1007.9999999999999,16,368,47.99999999999999
sync_mes_3m_v39,slicer,24,76,190,60
in_slicer_flujo,slicer,226,76,190,60
in_slicer_zona,slicer,428,76,180,60
in_slicer_responsable,slicer,620,76,250,60
in_slicer_canal,slicer,882,76,190,60
in_slicer_momento,slicer,1084,76,292,60
in_nota_cierre,tableEx,592,144,992,80
table_9601cabf413a41,cardVisual,24,150,170,72
table_62c6c02944b14e,cardVisual,206,150,170,72
table_bad13c26c1d64f,cardVisual,388,150,170,72
chart_924aca87b5094c,hundredPercentStackedColumnChart,592,224,992,224
in_matrix_semana,pivotTable,24,238,552,252
57f10ff400d0000bd6d2,actionButton,1024,463.99999999999994,176,36
8dab02c301ebb2810320,actionButton,1216,463.99999999999994,176,36
2155081fa518460cc812,actionButton,1408,463.99999999999994,176,36
in_chart_lineas_dia_mes,lineStackedColumnComboChart,0,508,1600,432
in_chart_pedidos_dia_mes,lineStackedColumnComboChart,24,516,1552,392
in_chart_unidades_dia_mes,lineStackedColumnComboChart,24,516,1552,392
