Pagina,Visual,Tipo,X,Y,W,H
00 Resumen Ejecutivo Mayorista,bg_page,shape,0,16,1600,848
00 Resumen Ejecutivo Mayorista,filter_panel,shape,16,80,208,383.99999999999994
00 Resumen Ejecutivo Mayorista,8b664941e6c072783070,pivotTable,16,480,288,128
00 Resumen Ejecutivo Mayorista,3b0d647a439385b325bd,pivotTable,16,640,304,128
00 Resumen Ejecutivo Mayorista,slicer_mes_3m_v39,slicer,30,122,176,60
00 Resumen Ejecutivo Mayorista,slicer_zona,slicer,30,228,176,56
00 Resumen Ejecutivo Mayorista,slicer_flujo,slicer,30,290,176,56
00 Resumen Ejecutivo Mayorista,slicer_clasif,slicer,30,352,176,56
00 Resumen Ejecutivo Mayorista,filter_title,textbox,30.223880597014926,86.19402985074628,175.7462686567164,31.34328358208955
00 Resumen Ejecutivo Mayorista,header_panel,shape,32,0,1568,80
00 Resumen Ejecutivo Mayorista,btn_reset_resumen,actionButton,32,416,176,36
00 Resumen Ejecutivo Mayorista,logo_artel,image,34,20,160,48
00 Resumen Ejecutivo Mayorista,title_ns,textbox,160,16,528,48
00 Resumen Ejecutivo Mayorista,flow_operativo,image,224,80,383.99999999999994,144
00 Resumen Ejecutivo Mayorista,chart_mensual_3m_v39,tableEx,235,220,620,260
00 Resumen Ejecutivo Mayorista,matrix_hitos_resumen,pivotTable,336,480,400,304
00 Resumen Ejecutivo Mayorista,f07bd2d60e407e2ddd01,tableEx,592,80,320,144
00 Resumen Ejecutivo Mayorista,critical_table,tableEx,752,480,832,304
00 Resumen Ejecutivo Mayorista,summary_month,tableEx,864,224,304,256
00 Resumen Ejecutivo Mayorista,sla_panel,tableEx,912,80,336,144
00 Resumen Ejecutivo Mayorista,window_note,tableEx,944,16,336,47.99999999999999
00 Resumen Ejecutivo Mayorista,donut_flujo,tableEx,1175.3731343283582,220.52238805970148,404.1044776119403,259.7014925373134
00 Resumen Ejecutivo Mayorista,kpi_promesa,tableEx,1248,80,336,144
00 Resumen Ejecutivo Mayorista,update_value,cardVisual,1280,16,312.3134328358209,52.61194029850746
00 Resumen Ejecutivo Mayorista,update_label,textbox,1360,25,170,18
01 Analisis Fuera SLA,bg_page,shape,0,0,1376,800.0000000000001
01 Analisis Fuera SLA,header_panel,shape,22.999999999999986,7.910486599011186,1352,72
01 Analisis Fuera SLA,fa_question_header,textbox,22.999999999999986,79.91048659901118,1349,24
01 Analisis Fuera SLA,fa_clientes_recurrentes,tableEx,22.999999999999986,111.91048659901118,696,208
01 Analisis Fuera SLA,fa_vendedores_reincidentes,tableEx,22.999999999999986,335.91048659901116,616,184
01 Analisis Fuera SLA,critical_table,tableEx,24,536,1344,264
01 Analisis Fuera SLA,window_note,tableEx,34,78,420,30
01 Analisis Fuera SLA,404f2d93ca5a3787d85b,image,38.999999999999986,15.91048659901119,160,48
01 Analisis Fuera SLA,title_ns,textbox,199,15.91048659901119,384,56
01 Analisis Fuera SLA,fa_fes_carga_tiempo,tableEx,647,335.91048659901116,720,184
01 Analisis Fuera SLA,fa_permanencia_cd,tableEx,728,112,640,120
01 Analisis Fuera SLA,0f1503043b792595e452,tableEx,816,32,328,48
01 Analisis Fuera SLA,update_value,cardVisual,1144,24,208,48
02 Ingreso de Pedidos,6c8984e9e3638827d0cd,shape,0,0,1600,64
02 Ingreso de Pedidos,f4bba81fb89445b90585,image,0,0,160,48
02 Ingreso de Pedidos,shape_ed7d494e768744,shape,0,0,1600,900
02 Ingreso de Pedidos,sync_mes_3m_v39,slicer,24,76,190,60
02 Ingreso de Pedidos,table_9601cabf413a41,cardVisual,24,150,170,72
02 Ingreso de Pedidos,in_matrix_semana,pivotTable,24,238,552,252
02 Ingreso de Pedidos,in_chart_lineas_dia_mes,lineStackedColumnComboChart,24,516,1552,392
02 Ingreso de Pedidos,in_chart_pedidos_dia_mes,lineStackedColumnComboChart,24,516,1552,392
02 Ingreso de Pedidos,in_chart_unidades_dia_mes,lineStackedColumnComboChart,24,516,1552,392
02 Ingreso de Pedidos,text_6d7cf337c16a45,textbox,128,0,848.0000000000001,64
02 Ingreso de Pedidos,table_62c6c02944b14e,cardVisual,206,150,170,72
02 Ingreso de Pedidos,in_slicer_flujo,slicer,226,76,190,60
02 Ingreso de Pedidos,table_bad13c26c1d64f,cardVisual,388,150,170,72
02 Ingreso de Pedidos,in_slicer_zona,slicer,428,76,180,60
02 Ingreso de Pedidos,in_nota_cierre,tableEx,592,144,992,96
02 Ingreso de Pedidos,chart_924aca87b5094c,hundredPercentStackedColumnChart,592,240,992,208
02 Ingreso de Pedidos,in_slicer_responsable,slicer,620,76,250,60
02 Ingreso de Pedidos,in_slicer_canal,slicer,882,76,190,60
02 Ingreso de Pedidos,57f10ff400d0000bd6d2,actionButton,1024,463.99999999999994,176,36
02 Ingreso de Pedidos,in_slicer_momento,slicer,1084,76,292,60
02 Ingreso de Pedidos,ed66dbc00d2909038e40,tableEx,1088,16,304,48
02 Ingreso de Pedidos,8dab02c301ebb2810320,actionButton,1216,463.99999999999994,176,36
02 Ingreso de Pedidos,128939765c77060c0329,cardVisual,1392,16,208,48
02 Ingreso de Pedidos,2155081fa518460cc812,actionButton,1408,463.99999999999994,176,36
