Pedido,Cliente_FACT,Cliente_DIM,Nombre,Vendedor,Clasificacion,Fecha,Dias_Internos,SLA,Exceso,Causa
4190139957,460137,AUSENTE,,,NORMAL,2026-07-03,6,4,2,Dim_Cliente_no_cubre_codigo
4190139958,460137,AUSENTE,,,NORMAL,2026-07-03,6,4,2,Dim_Cliente_no_cubre_codigo
4190139950,411459,AUSENTE,,,NORMAL,2026-07-02,15,4,11,Dim_Cliente_no_cubre_codigo
4190139942,440425,AUSENTE,,,NORMAL,2026-07-01,10,4,6,Dim_Cliente_no_cubre_codigo
4190139862,345064,AUSENTE,,,NORMAL,2026-06-25,11,5,6,Dim_Cliente_no_cubre_codigo
4190139849,810035,AUSENTE,,,NORMAL,2026-06-24,17,5,12,Dim_Cliente_no_cubre_codigo
1167347,420428,AUSENTE,,,NORMAL,2026-06-24,10,4,6,Dim_Cliente_no_cubre_codigo
4190139772,340007,AUSENTE,,,NORMAL,2026-06-19,17,5,12,Dim_Cliente_no_cubre_codigo
4190139760,820008,AUSENTE,,,NORMAL,2026-06-18,7,5,2,Dim_Cliente_no_cubre_codigo
1167222,500159,AUSENTE,,,NORMAL,2026-06-17,7,5,2,Dim_Cliente_no_cubre_codigo
4190139739,280028,AUSENTE,,,NORMAL,2026-06-17,8,5,3,Dim_Cliente_no_cubre_codigo
4190139708,140014,AUSENTE,,,NORMAL,2026-06-15,9,5,4,Dim_Cliente_no_cubre_codigo
4190139713,940066,AUSENTE,,,NORMAL,2026-06-15,6,5,1,Dim_Cliente_no_cubre_codigo
4190139659,460141,AUSENTE,,,NORMAL,2026-06-11,8,4,4,Dim_Cliente_no_cubre_codigo
1167140,420093,AUSENTE,,,NORMAL,2026-06-11,7,4,3,Dim_Cliente_no_cubre_codigo
1167150,400454,AUSENTE,,,NORMAL,2026-06-11,7,4,3,Dim_Cliente_no_cubre_codigo
1167124,411302,AUSENTE,,,NORMAL,2026-06-10,8,4,4,Dim_Cliente_no_cubre_codigo
4190139639,280026,AUSENTE,,,NORMAL,2026-06-10,13,5,8,Dim_Cliente_no_cubre_codigo
4190139641,130142,AUSENTE,,,NORMAL,2026-06-10,8,5,3,Dim_Cliente_no_cubre_codigo
4190139625,335071,AUSENTE,,,NORMAL,2026-06-09,8,5,3,Dim_Cliente_no_cubre_codigo
4190139623,325009,AUSENTE,,,NORMAL,2026-06-09,7,5,2,Dim_Cliente_no_cubre_codigo
1167069,534001,AUSENTE,,,NORMAL,2026-06-04,6,5,1,Dim_Cliente_no_cubre_codigo
