Pedido,Cliente_FACT,Cliente_DIM,CLIENTE_NOMBRE,VENDEDOR_NOMBRE,Estado_match
4190139957,460137,460137,codigo_client,SIN EJECUTIVO,OK
4190139958,460137,460137,codigo_client,SIN EJECUTIVO,OK
4190139950,411459,411459,codigo_client,SIN EJECUTIVO,OK
4190139942,440425,440425,codigo_client,SIN EJECUTIVO,OK
4190139862,345064,345064,codigo_client,SIN EJECUTIVO,OK
4190139849,810035,810035,codigo_client,SIN EJECUTIVO,OK
1167347,420428,420428,codigo_client,SIN EJECUTIVO,OK
4190139772,340007,340007,codigo_client,SIN EJECUTIVO,OK
4190139760,820008,820008,codigo_client,SIN EJECUTIVO,OK
1167222,500159,500159,codigo_client,SIN EJECUTIVO,OK
4190139739,280028,280028,codigo_client,SIN EJECUTIVO,OK
4190139708,140014,140014,codigo_client,SIN EJECUTIVO,OK
4190139713,940066,940066,codigo_client,SIN EJECUTIVO,OK
4190139659,460141,460141,codigo_client,SIN EJECUTIVO,OK
1167140,420093,420093,codigo_client,SIN EJECUTIVO,OK
1167150,400454,400454,codigo_client,SIN EJECUTIVO,OK
1167124,411302,411302,codigo_client,SIN EJECUTIVO,OK
4190139639,280026,280026,codigo_client,SIN EJECUTIVO,OK
4190139641,130142,130142,codigo_client,SIN EJECUTIVO,OK
4190139625,335071,335071,codigo_client,SIN EJECUTIVO,OK
4190139623,325009,325009,codigo_client,SIN EJECUTIVO,OK
1167069,534001,534001,codigo_client,SIN EJECUTIVO,OK
