COMBINACION,RE_Pedidos,RE_Valor,RE_PromDH,RE_P90,Estado
Todos,1898,2274130561,3.502,8,BASE
Normal,1459,1203838328,2.580,5,OK
FES,437,1067918295,6.574,14,OK
Saldo,2,2373938,5.000,6.6,OK
Normal_FES,1896,2271756623,3.501,8,CORREGIDO (antes devolvia universo completo)
Normal_Saldo,1461,1206212266,2.598,5,OK
FES_Saldo,439,1070292233,6.560,14,OK
Santiago,925,1143718010,3.070,7,OK
Regiones,973,1130412551,3.920,9,OK
Santiago_Regiones,1898,2274130561,3.502,8,OK
VALIDACION,1203838328+1067918295=2271756623,match_Normal_FES_valor,
