MEDIDA,PATRONES_FLUJO_REEMPLAZADOS,PATRONES_ZONA_REEMPLAZADOS,ESTADO
FA Líneas,1,1,CORREGIDO_ESTRUCTURAL
FA Unidades,1,1,CORREGIDO_ESTRUCTURAL
FA DH Promedio FES,0,1,CORREGIDO_ESTRUCTURAL
FA DH Promedio Normal,0,1,CORREGIDO_ESTRUCTURAL
FA Pedidos con Volumen,1,1,CORREGIDO_ESTRUCTURAL
FA Días Factura Salida Promedio,1,1,CORREGIDO_ESTRUCTURAL
FA P90 Días Factura Salida,1,1,CORREGIDO_ESTRUCTURAL
FA Pedidos Facturados >15d,1,1,CORREGIDO_ESTRUCTURAL
FA Pedidos Facturados >20d,1,1,CORREGIDO_ESTRUCTURAL
FA Valor Retenido >15d,1,1,CORREGIDO_ESTRUCTURAL
FA Pedidos Postfactura Abiertos >15d,1,1,CORREGIDO_ESTRUCTURAL
FA Carga Pedidos Creados,1,1,CORREGIDO_ESTRUCTURAL
FA Carga Líneas,1,1,CORREGIDO_ESTRUCTURAL
FA Carga Unidades,1,1,CORREGIDO_ESTRUCTURAL

TOTAL_MEDIDAS_CORREGIDAS,14,,PENDIENTE_VALIDACION_VIVA_POWER_BI
PATRON_NUEVO,[RE Filtro Flujo],[RE Filtro Zona],HELPERS_COMUNES
