PED_NUMERO_PEDIDO;PED_FECHA;MES_CREACION;PED_CODIGO_CLIENTE;CLIENTE;PED_RESPONSABLE;VENDEDOR;PED_CANAL_CODIGO;PED_CANAL;PED_REGION;ZONA;PED_CONDICION_EXPEDICION_CODIGO;PED_CONDICION_EXPEDICION;PED_ESTADO_CREDITO;SERV_TIPO_SERVICIO;VALOR_NETO;VALOR_MM;DIA_MES;SEMANA_MES;ES_FIN_MES;CLASIFICACION;ES_FES;ES_SALDO;ES_PENDIENTE;ES_CERRADO_TRACKING;ESTADO_ACTUAL;HITO_ACTUAL;FECHA_ACTUALIZACION;DIAS_ACTUALES_DH;DIAS_EN_ESTADO_DH;DH_TOTAL;ESTADO_SLA;PROB_ML_ATRASO;RIESGO_ATRASO;PREDICCION_SLA;DH_PREDICHO_ML;DH_PREDICHO_BASE_ML;DIAS_RESTANTES_PREDICHOS;BANDA_DIAS_PREDICHOS;SLA_CONSUMIDO_PCT;PRIORIDAD_SCORE;FACTOR_PRINCIPAL;FACTOR_HISTORICO;FEATURE_TOP1;FEATURE_TOP2;FEATURE_TOP3;FACTOR_DIAS_PRINCIPAL;RESPONSABLE_AREA;ACCION_RECOMENDADA;DH_CREDITO;DH_OPERACIONES;DH_PICKING;DH_FACTURACION;DH_DESPACHO;FASE_MAS_LENTA;DH_FASE_LENTA;ES_FLUJO_COMPLETO_ML;ES_CALIDAD_VALIDA_ML;ES_ENTRENAMIENTO_FINAL;ES_VALIDACION_TEST;MOTIVO_EXCLUSION_ML;AUD_ESTADO_GENERAL;AUD_TOTAL_CRITICAS;AUD_PRINCIPAL_INCONGRUENCIA;AUD_DUPLICADOS_ENTRADA;MODELO_ML;MODELO_VERSION;MODELO_FECHA;MODELO_VALIDADO;MODELO_DEPENDENCIA;MODELO_FUENTE_SCORE;N_ENTRENAMIENTO_FINAL;N_TRAIN_VALIDACION;N_TEST_VALIDACION;MESES_TRAIN_VALIDACION;MES_TEST_VALIDACION;AUC_TEST;AP_TEST;BRIER_TEST;MAE_DIAS_TEST;RMSE_DIAS_TEST;R2_DIAS_TEST;TASA_ATRASO_ENTRENAMIENTO;PEDIDOS_PENDIENTES_MODELO;PEDIDOS_PENDIENTES_ALTO;ATRASOS_ESPERADOS_PENDIENTES
1168025;2026-07-06;2026-07;900005;900005;V612;V612;46;Org. Gubernamentales;10;Regiones;4;Urgente;B;160;374355;0.374355;6;1-7;No;NORMAL;False;False;True;False;SIN ESTADO;SIN HITO;;0.0;;;PENDIENTE;0.6164505852264046;ALTO;PROBABLE INCUMPLIMIENTO;7.1;7.1;7.1;8-10 DH;0.0;40.8;Historial previo del cliente;CREDITO;Historial previo del cliente;Día del mes;Historial previo del canal;Vendedor: V612;Comercial;Seguimiento preventivo con cliente y vendedor;0.0;0.0;0.0;0.0;0.0;CREDITO;0.0;False;False;False;False;AUDITORIA CRITICA;CRITICO;1;CRITICO: TRANSPORTE MAS DE 30 DIAS ANTES DEL PEDIDO;0;Regresión logística + regresión lineal regularizada;ML_LOGIT_LINEAR_FLUJO_COMPLETO_V50_2026;2026-07-26 21:24;True;scikit-learn;"ML entrenado con flujo completo; sin FES/Saldo como predictores iniciales";1540;659;694;2026-05;2026-06;0.7453063885267276;0.4315223199854611;0.12475453610202066;1.4911532858899847;2.505447792736855;0.3579285234466517;0.12012987012987013;88;19;12.216227075641683
1168140;2026-07-14;2026-07;550145;550145;V610;V610;45;Dist Mayoristas;7;Regiones;4;Urgente;B;8;5661237;5.661237;14;8-14;No;NORMAL;False;False;True;False;SIN ESTADO;SIN HITO;;0.0;;;PENDIENTE;0.41102423026088925;ALTO;PROBABLE CUMPLIMIENTO;3.4;3.4;3.4;0-5 DH;0.0;36.7;Historial previo del cliente;CREDITO;Historial previo del cliente;Monto >= 2,6 MM;Monto >= 5 MM;Canal: 45;Control de Gestión;Priorizar pedido sobre CLP 5 MM y coordinar área responsable;0.0;0.0;0.0;0.0;0.0;CREDITO;0.0;False;False;False;False;AUDITORIA CRITICA;CRITICO;1;CRITICO: TRANSPORTE MAS DE 30 DIAS ANTES DEL PEDIDO;0;Regresión logística + regresión lineal regularizada;ML_LOGIT_LINEAR_FLUJO_COMPLETO_V50_2026;2026-07-26 21:24;True;scikit-learn;"ML entrenado con flujo completo; sin FES/Saldo como predictores iniciales";1540;659;694;2026-05;2026-06;0.7453063885267276;0.4315223199854611;0.12475453610202066;1.4911532858899847;2.505447792736855;0.3579285234466517;0.12012987012987013;88;19;12.216227075641683
4190139996;2026-07-08;2026-07;100013;100013;V861;V861;43;Tradicional Detalle;1;Regiones;1;Estándar;B;100;3033004;3.033004;8;8-14;No;NORMAL;False;False;True;False;SIN ESTADO;SIN HITO;;0.0;;;PENDIENTE;0.4399611319014884;ALTO;PROBABLE INCUMPLIMIENTO;5.7;5.7;5.7;6-7 DH;0.0;34.7;Historial previo del cliente;CREDITO;Historial previo del cliente;Día del mes;Monto >= 2,6 MM;Canal: 43;Comercial;Seguimiento preventivo con cliente y vendedor;0.0;0.0;0.0;0.0;0.0;CREDITO;0.0;False;False;False;False;AUDITORIA CRITICA;CRITICO;1;CRITICO: TRANSPORTE MAS DE 30 DIAS ANTES DEL PEDIDO;0;Regresión logística + regresión lineal regularizada;ML_LOGIT_LINEAR_FLUJO_COMPLETO_V50_2026;2026-07-26 21:24;True;scikit-learn;"ML entrenado con flujo completo; sin FES/Saldo como predictores iniciales";1540;659;694;2026-05;2026-06;0.7453063885267276;0.4315223199854611;0.12475453610202066;1.4911532858899847;2.505447792736855;0.3579285234466517;0.12012987012987013;88;19;12.216227075641683
4190140013;2026-07-11;2026-07;200186;200186;V834;V834;43;Tradicional Detalle;4;Regiones;1;Estándar;B;35;1454689;1.454689;11;8-14;No;NORMAL;False;False;True;False;SIN ESTADO;SIN HITO;;0.0;;;PENDIENTE;0.41497628760036714;ALTO;PROBABLE CUMPLIMIENTO;4.6;4.6;4.6;0-5 DH;0.0;29.9;Historial previo del cliente;CREDITO;Historial previo del cliente;Día del mes;Día de semana: 5;Historial previo del cliente;Comercial;Seguimiento preventivo con cliente y vendedor;0.0;0.0;0.0;0.0;0.0;CREDITO;0.0;False;False;False;False;AUDITORIA CRITICA;CRITICO;1;CRITICO: TRANSPORTE MAS DE 30 DIAS ANTES DEL PEDIDO;0;Regresión logística + regresión lineal regularizada;ML_LOGIT_LINEAR_FLUJO_COMPLETO_V50_2026;2026-07-26 21:24;True;scikit-learn;"ML entrenado con flujo completo; sin FES/Saldo como predictores iniciales";1540;659;694;2026-05;2026-06;0.7453063885267276;0.4315223199854611;0.12475453610202066;1.4911532858899847;2.505447792736855;0.3579285234466517;0.12012987012987013;88;19;12.216227075641683
4190139979;2026-07-07;2026-07;480041;480041;V400;V400;43;Tradicional Detalle;5;Regiones;1;Estándar;B;130;999446;0.999446;7;1-7;No;NORMAL;False;False;True;False;SIN ESTADO;SIN HITO;;0.0;;;PENDIENTE;0.4122966972629155;ALTO;PROBABLE INCUMPLIMIENTO;6.1;6.1;6.1;6-7 DH;0.0;28.8;Historial previo del cliente;CREDITO;Historial previo del cliente;Tipo de servicio: 130;Día del mes;Tipo de servicio: 130;Comercial;Seguimiento preventivo con cliente y vendedor;0.0;0.0;0.0;0.0;0.0;CREDITO;0.0;False;False;False;False;AUDITORIA CRITICA;CRITICO;1;CRITICO: TRANSPORTE MAS DE 30 DIAS ANTES DEL PEDIDO;0;Regresión logística + regresión lineal regularizada;ML_LOGIT_LINEAR_FLUJO_COMPLETO_V50_2026;2026-07-26 21:24;True;scikit-learn;"ML entrenado con flujo completo; sin FES/Saldo como predictores iniciales";1540;659;694;2026-05;2026-06;0.7453063885267276;0.4315223199854611;0.12475453610202066;1.4911532858899847;2.505447792736855;0.3579285234466517;0.12012987012987013;88;19;12.216227075641683
4190139778;2026-06-22;2026-06;470052;470052;V650;V650;43;Tradicional Detalle;13;Santiago;1;Estándar;D;370;1794632;1.794632;22;22-FIN;Si;NORMAL;False;False;True;False;SIN ESTADO;SIN HITO;;0.0;;;PENDIENTE;0.3496565904111274;ALTO;PROBABLE INCUMPLIMIENTO;5.4;5.4;5.4;6-7 DH;0.0;26.3;Vendedor: V650;CREDITO;Vendedor: V650;Historial previo del cliente;Fin de mes;Vendedor: V650;Crédito y Cobranzas;Escalar liberación y bloqueo de crédito;16.0;0.0;0.0;0.0;0.0;CREDITO;16.0;False;False;False;False;FLUJO INCOMPLETO / PENDIENTE;REVISAR;0;INCOMPLETO NORMAL: SIN FACTURA;0;Regresión logística + regresión lineal regularizada;ML_LOGIT_LINEAR_FLUJO_COMPLETO_V50_2026;2026-07-26 21:24;True;scikit-learn;"ML entrenado con flujo completo; sin FES/Saldo como predictores iniciales";1540;659;694;2026-05;2026-06;0.7453063885267276;0.4315223199854611;0.12475453610202066;1.4911532858899847;2.505447792736855;0.3579285234466517;0.12012987012987013;88;19;12.216227075641683
4190139772;2026-06-19;2026-06;340007;340007;V400;V400;43;Tradicional Detalle;5;Regiones;1;Estándar;D;395;284470;0.28447;19;15-21;No;NORMAL;False;False;True;False;SIN ESTADO;SIN HITO;;0.0;;;PENDIENTE;0.31412957802056973;ALTO;PROBABLE INCUMPLIMIENTO;9.1;9.1;9.1;8-10 DH;0.0;21.0;Semana del mes: 15-21;CREDITO;Semana del mes: 15-21;Tipo de servicio: 395;Historial previo del vendedor;Tipo de servicio: 395;Crédito y Cobranzas;Escalar liberación y bloqueo de crédito;16.0;0.0;0.0;0.0;0.0;CREDITO;16.0;False;False;False;False;FLUJO INCOMPLETO / PENDIENTE;REVISAR;0;INCOMPLETO NORMAL: SIN FACTURA;0;Regresión logística + regresión lineal regularizada;ML_LOGIT_LINEAR_FLUJO_COMPLETO_V50_2026;2026-07-26 21:24;True;scikit-learn;"ML entrenado con flujo completo; sin FES/Saldo como predictores iniciales";1540;659;694;2026-05;2026-06;0.7453063885267276;0.4315223199854611;0.12475453610202066;1.4911532858899847;2.505447792736855;0.3579285234466517;0.12012987012987013;88;19;12.216227075641683
1167213;2026-06-16;2026-06;570022;570022;V108;V108;45;Dist Mayoristas;7;Regiones;4;Urgente;A;462;3987417;3.987417;16;15-21;No;NORMAL;False;False;True;False;SIN ESTADO;SIN HITO;;0.0;;;PENDIENTE;0.18150549854518339;MEDIO;PROBABLE CUMPLIMIENTO;4.8;4.8;4.8;0-5 DH;0.0;19.8;Semana del mes: 15-21;CREDITO;Semana del mes: 15-21;Monto >= 2,6 MM;Condición de expedición: 4;Canal: 45;Operaciones;Revisar hito actual y remover restricción principal;0.0;0.0;0.0;0.0;0.0;CREDITO;0.0;False;False;False;False;FLUJO INCOMPLETO / PENDIENTE;REVISAR;0;INCOMPLETO NORMAL: SIN FACTURA;0;Regresión logística + regresión lineal regularizada;ML_LOGIT_LINEAR_FLUJO_COMPLETO_V50_2026;2026-07-26 21:24;True;scikit-learn;"ML entrenado con flujo completo; sin FES/Saldo como predictores iniciales";1540;659;694;2026-05;2026-06;0.7453063885267276;0.4315223199854611;0.12475453610202066;1.4911532858899847;2.505447792736855;0.3579285234466517;0.12012987012987013;88;19;12.216227075641683
4190139742;2026-06-17;2026-06;650481;650481;V580;V580;43;Tradicional Detalle;8;Regiones;1;Estándar;B;434;1327083;1.327083;17;15-21;No;NORMAL;False;False;True;False;SIN ESTADO;SIN HITO;;0.0;;;PENDIENTE;0.2593431516640847;ALTO;PROBABLE INCUMPLIMIENTO;5.3;5.3;5.3;6-7 DH;0.0;19.5;Semana del mes: 15-21;CREDITO;Semana del mes: 15-21;Vendedor: V580;Soporte histórico del cliente;Canal: 43;Operaciones;Revisar hito actual y remover restricción principal;0.0;0.0;0.0;0.0;0.0;CREDITO;0.0;False;False;False;False;AUDITORIA CRITICA;CRITICO;1;CRITICO: TRANSPORTE MAS DE 30 DIAS ANTES DEL PEDIDO;0;Regresión logística + regresión lineal regularizada;ML_LOGIT_LINEAR_FLUJO_COMPLETO_V50_2026;2026-07-26 21:24;True;scikit-learn;"ML entrenado con flujo completo; sin FES/Saldo como predictores iniciales";1540;659;694;2026-05;2026-06;0.7453063885267276;0.4315223199854611;0.12475453610202066;1.4911532858899847;2.505447792736855;0.3579285234466517;0.12012987012987013;88;19;12.216227075641683
4190139591;2026-06-04;2026-06;650469;650469;V580;V580;43;Tradicional Detalle;8;Regiones;1;Estándar;B;652;1163622;1.163622;4;1-7;No;NORMAL;False;False;True;False;SIN ESTADO;SIN HITO;;0.0;;;PENDIENTE;0.25477175935460256;ALTO;PROBABLE INCUMPLIMIENTO;5.0;5.0;5.0;0-5 DH;0.0;18.9;Día del mes;CREDITO;Día del mes;Vendedor: V580;Soporte histórico del cliente;Día del mes;Operaciones;Revisar hito actual y remover restricción principal;0.0;0.0;0.0;0.0;0.0;CREDITO;0.0;False;False;False;False;AUDITORIA CRITICA;CRITICO;1;CRITICO: TRANSPORTE MAS DE 30 DIAS ANTES DEL PEDIDO;0;Regresión logística + regresión lineal regularizada;ML_LOGIT_LINEAR_FLUJO_COMPLETO_V50_2026;2026-07-26 21:24;True;scikit-learn;"ML entrenado con flujo completo; sin FES/Saldo como predictores iniciales";1540;659;694;2026-05;2026-06;0.7453063885267276;0.4315223199854611;0.12475453610202066;1.4911532858899847;2.505447792736855;0.3579285234466517;0.12012987012987013;88;19;12.216227075641683
