tabla_hija,columna_master_referenciada,uso
Fact_Pedidos,PED_NUMERO_PEDIDO,SELECTCOLUMNS
Fact_Pedidos,PED_CODIGO_CLIENTE,SELECTCOLUMNS
Fact_Pedidos,PED_RESPONSABLE,SELECTCOLUMNS
Fact_Pedidos,PED_CENTRO,SELECTCOLUMNS
Fact_Pedidos,PED_CIUDAD,SELECTCOLUMNS
Fact_Pedidos,PED_REGION,SELECTCOLUMNS
Fact_Pedidos,PED_CONDICION_EXPEDICION_CODIGO,SELECTCOLUMNS
Fact_Pedidos,PED_CONDICION_EXPEDICION,SELECTCOLUMNS
Fact_Pedidos,PED_ORDEN_COMPRA_CLIENTE,SELECTCOLUMNS
Fact_Pedidos,PED_CANAL_CODIGO,SELECTCOLUMNS
Fact_Pedidos,PED_CANAL,SELECTCOLUMNS
Fact_Pedidos,PED_VALOR_NETO,SELECTCOLUMNS
Fact_Pedidos,PED_MONEDA,SELECTCOLUMNS
Fact_Pedidos,PED_BLOQUEO_ENTREGA,SELECTCOLUMNS
Fact_Pedidos,PED_ESTADO_CREDITO,SELECTCOLUMNS
Fact_Pedidos,SERV_TIPO_SERVICIO,SELECTCOLUMNS
Fact_Pedidos,SERV_TIPO_SERVICIO_PLANIFICADO,SELECTCOLUMNS
Fact_Pedidos,OTIF_ESTADO_PEDIDO,SELECTCOLUMNS
Fact_Pedidos,PED_TEXTO_ESTADO,SELECTCOLUMNS
Fact_Pedidos,ES_FES,SELECTCOLUMNS
Fact_Pedidos,ES_SALDO,SELECTCOLUMNS
Fact_Pedidos,SEGMENTO_ANALISIS,SELECTCOLUMNS
Fact_Pedidos,INCLUIR_SLA_NORMAL,SELECTCOLUMNS
Fact_Pedidos,PED_FECHA_HORA,SELECTCOLUMNS
Fact_Pedidos,CRD_P_FECHA_HORA,SELECTCOLUMNS
Fact_Pedidos,ENT_P_FECHA_HORA,SELECTCOLUMNS
Fact_Pedidos,PIC_P_FECHA_HORA,SELECTCOLUMNS
Fact_Pedidos,FAC_P_FECHA_HORA_REAL,SELECTCOLUMNS
Fact_Pedidos,FAC_U_FECHA_HORA,SELECTCOLUMNS
Fact_Pedidos,TRP_P_FECHA_HORA,SELECTCOLUMNS
Fact_Pedidos,TRP_U_FECHA_HORA,SELECTCOLUMNS
Fact_Pedidos,DH_CREDITO_COBRANZAS,SELECTCOLUMNS
Fact_Pedidos,DH_OPERACION_INTERNA,SELECTCOLUMNS
Fact_Pedidos,DH_CREDITO_A_PRIMERA_ENTREGA,SELECTCOLUMNS
Fact_Pedidos,DH_PRIMERA_ENTREGA_A_PRIMER_PICKING,SELECTCOLUMNS
Fact_Pedidos,DH_PRIMER_PICKING_A_PRIMERA_FACTURA,SELECTCOLUMNS
Fact_Pedidos,DH_DESPACHO,SELECTCOLUMNS
