columna_master,referenciada_por_tablas,cantidad_tablas,referenciada_por
PED_NUMERO_PEDIDO,"Fact_Pedidos;Fact_Tracking;Fact_Hitos_Operacionales;Fact_Tiempos_Hitos;Resultado",5,"SELECTCOLUMNS;SELECTCOLUMNS;SELECTCOLUMNS;SELECTCOLUMNS;JOIN"
PED_CODIGO_CLIENTE,"Fact_Pedidos;Fact_Tracking;Fact_Hitos_Operacionales;Fact_Tiempos_Hitos;Resultado",5,"SELECTCOLUMNS;SELECTCOLUMNS;SELECTCOLUMNS;SELECTCOLUMNS;JOIN"
PED_RESPONSABLE,"Fact_Pedidos;Fact_Tracking;Fact_Hitos_Operacionales;Fact_Tiempos_Hitos;Resultado",5,"SELECTCOLUMNS;SELECTCOLUMNS;SELECTCOLUMNS;SELECTCOLUMNS;OTHER"
PED_CANAL_CODIGO,"Fact_Pedidos;Fact_Tracking;Fact_Hitos_Operacionales;Fact_Tiempos_Hitos;Resultado",5,"SELECTCOLUMNS;SELECTCOLUMNS;SELECTCOLUMNS;SELECTCOLUMNS;OTHER"
PED_VALOR_NETO,"Fact_Pedidos;Fact_Tracking;Fact_Hitos_Operacionales;Fact_Tiempos_Hitos;Resultado",5,"SELECTCOLUMNS;SELECTCOLUMNS;SELECTCOLUMNS;SELECTCOLUMNS;OTHER"
PED_CIUDAD,"Fact_Pedidos;Fact_Tracking;Fact_Hitos_Operacionales;Resultado",4,"SELECTCOLUMNS;SELECTCOLUMNS;SELECTCOLUMNS;OTHER"
PED_REGION,"Fact_Pedidos;Fact_Tracking;Fact_Hitos_Operacionales;Resultado",4,"SELECTCOLUMNS;SELECTCOLUMNS;SELECTCOLUMNS;OTHER"
PED_CONDICION_EXPEDICION_CODIGO,"Fact_Pedidos;Fact_Tracking;Fact_Hitos_Operacionales;Fact_Tiempos_Hitos;Resultado",5,"SELECTCOLUMNS;SELECTCOLUMNS;SELECTCOLUMNS;SELECTCOLUMNS;OTHER"
PED_FECHA_HORA,"Fact_Pedidos;Fact_Tracking;Fact_Hitos_Operacionales;Fact_Tiempos_Hitos;Resultado",5,"SELECTCOLUMNS;SELECTCOLUMNS;SELECTCOLUMNS;SELECTCOLUMNS;OTHER"
ES_FES,"Fact_Pedidos;Fact_Tracking;Fact_Hitos_Operacionales;Fact_Tiempos_Hitos;Resultado",5,"SELECTCOLUMNS;SELECTCOLUMNS;SELECTCOLUMNS;SELECTCOLUMNS;OTHER"
ES_SALDO,"Fact_Pedidos;Fact_Tracking;Fact_Hitos_Operacionales;Fact_Tiempos_Hitos;Resultado",5,"SELECTCOLUMNS;SELECTCOLUMNS;SELECTCOLUMNS;SELECTCOLUMNS;OTHER"
CRD_P_FECHA_HORA,"Fact_Pedidos;Fact_Tracking;Fact_Hitos_Operacionales;Resultado",4,"SELECTCOLUMNS;SELECTCOLUMNS;SELECTCOLUMNS;OTHER"
ENT_P_FECHA_HORA,"Fact_Pedidos;Fact_Tracking;Fact_Hitos_Operacionales;Resultado",4,"SELECTCOLUMNS;SELECTCOLUMNS;SELECTCOLUMNS;OTHER"
PIC_P_FECHA_HORA,"Fact_Pedidos;Fact_Tracking;Fact_Hitos_Operacionales;Resultado",4,"SELECTCOLUMNS;SELECTCOLUMNS;SELECTCOLUMNS;OTHER"
FAC_P_FECHA_HORA_REAL,"Fact_Pedidos;Fact_Tracking;Fact_Hitos_Operacionales;Resultado",4,"SELECTCOLUMNS;SELECTCOLUMNS;SELECTCOLUMNS;OTHER"
FAC_U_FECHA_HORA,"Fact_Pedidos;Fact_Tracking;Fact_Hitos_Operacionales;Resultado",4,"SELECTCOLUMNS;SELECTCOLUMNS;SELECTCOLUMNS;OTHER"
TRP_P_FECHA_HORA,"Fact_Pedidos;Fact_Tracking;Fact_Hitos_Operacionales;Resultado",4,"SELECTCOLUMNS;SELECTCOLUMNS;SELECTCOLUMNS;OTHER"
TRP_U_FECHA_HORA,"Fact_Pedidos;Fact_Tracking;Fact_Hitos_Operacionales;Resultado",4,"SELECTCOLUMNS;SELECTCOLUMNS;SELECTCOLUMNS;OTHER"
AUD_ESTADO_GENERAL,"Fact_Pedidos;Fact_Hitos_Operacionales;Fact_Tiempos_Hitos;Resultado",4,"SELECTCOLUMNS;SELECTCOLUMNS;SELECTCOLUMNS;OTHER"
SEGMENTO_ANALISIS,"Fact_Pedidos;Fact_Tiempos_Hitos;Resultado",3,"SELECTCOLUMNS;SELECTCOLUMNS;OTHER"
INCLUIR_SLA_NORMAL,"Fact_Pedidos;Fact_Tiempos_Hitos;Resultado",3,"SELECTCOLUMNS;SELECTCOLUMNS;OTHER"
DH_CREDITO_COBRANZAS,"Fact_Pedidos;Fact_Tiempos_Hitos;Resultado",3,"SELECTCOLUMNS;SELECTCOLUMNS;OTHER"
DH_OPERACION_INTERNA,"Fact_Pedidos;Fact_Tiempos_Hitos;Resultado",3,"SELECTCOLUMNS;SELECTCOLUMNS;OTHER"
