Grupo,Flujo,Macroproceso,Subproceso,Pedidos eval.,Cobertura,NS,SLA objetivo,Promedio DH,P90 DH
Total Pedidos Mayorista · diagnóstico por subprocesos,1. Flujo Normal Pedidos Mayorista,1. Administrativo · SLA total 1 DH,Creación → Comercial/SAC,1251,"100,0%","96,2%",1 DH,"0,2 DH","1,0 DH"
Total Pedidos Mayorista · diagnóstico por subprocesos,1. Flujo Normal Pedidos Mayorista,1. Administrativo · SLA total 1 DH,Comercial/SAC → Crédito,1251,"99,8%","91,8%",1 DH,"0,4 DH","1,0 DH"
Total Pedidos Mayorista · diagnóstico por subprocesos,1. Flujo Normal Pedidos Mayorista,1. Administrativo · SLA total 1 DH,Crédito → Ingreso a Logística,1251,"100,0%","96,3%",1 DH,"0,4 DH","1,0 DH"
Total Pedidos Mayorista · diagnóstico por subprocesos,1. Flujo Normal Pedidos Mayorista,2. Operaciones · SLA total 4 DH,Ingreso a Logística → Facturación,1251,"100,0%","94,3%",3 DH,"1,3 DH","3,0 DH"
Total Pedidos Mayorista · diagnóstico por subprocesos,1. Flujo Normal Pedidos Mayorista,2. Operaciones · SLA total 4 DH,Facturación → Despacho,1251,"100,0%","92,7%",1 DH,"0,7 DH","1,0 DH"
Total Pedidos Mayorista · diagnóstico por subprocesos,2. FES (incluye FES + Saldo),1. Administrativo · SLA total 1 DH,Creación → Comercial/SAC,571,"100,0%","90,5%",1 DH,"0,5 DH","1,0 DH"
Total Pedidos Mayorista · diagnóstico por subprocesos,2. FES (incluye FES + Saldo),1. Administrativo · SLA total 1 DH,Comercial/SAC → Crédito,571,"99,5%","87,7%",1 DH,"0,7 DH","2,0 DH"
Total Pedidos Mayorista · diagnóstico por subprocesos,2. FES (incluye FES + Saldo),1. Administrativo · SLA total 1 DH,Crédito → Ingreso a Logística,571,"100,0%","93,3%",1 DH,"0,6 DH","1,0 DH"
Total Pedidos Mayorista · diagnóstico por subprocesos,2. FES (incluye FES + Saldo),2. Operaciones · SLA total 4 DH,Ingreso a Logística → Facturación,571,"100,0%","99,1%",3 DH,"0,2 DH","0,0 DH"
Total Pedidos Mayorista · diagnóstico por subprocesos,2. FES (incluye FES + Saldo),2. Operaciones · SLA total 4 DH,Facturación → Pedido para despacho,571,"99,1%","77,1%",0 DH,"0,2 DH","1,0 DH"
Total Pedidos Mayorista · diagnóstico por subprocesos,2. FES (incluye FES + Saldo),2. Operaciones · SLA total 4 DH,Pedido para despacho → Entrega posterior,571,"100,0%","95,3%",0 DH,"0,1 DH","0,0 DH"
Total Pedidos Mayorista · diagnóstico por subprocesos,2. FES (incluye FES + Saldo),2. Operaciones · SLA total 4 DH,Entrega posterior → Manifiesto,571,"99,5%","18,4%",1 DH,"3,6 DH","7,0 DH"
Total Pedidos Mayorista · diagnóstico por subprocesos,3. Saldos puros Pedidos Mayorista,1. Administrativo · SLA total 1 DH,Creación → Comercial/SAC,1,"100,0%","100,0%",1 DH,"0,0 DH","0,0 DH"
Total Pedidos Mayorista · diagnóstico por subprocesos,3. Saldos puros Pedidos Mayorista,1. Administrativo · SLA total 1 DH,Comercial/SAC → Crédito,1,"100,0%","100,0%",1 DH,"1,0 DH","1,0 DH"
Total Pedidos Mayorista · diagnóstico por subprocesos,3. Saldos puros Pedidos Mayorista,1. Administrativo · SLA total 1 DH,Crédito → Ingreso a Logística,1,"100,0%",,1 DH,"3,0 DH","3,0 DH"
Total Pedidos Mayorista · diagnóstico por subprocesos,3. Saldos puros Pedidos Mayorista,2. Operaciones · SLA total 4 DH,Ingreso a Logística → Facturación,1,"100,0%","100,0%",3 DH,"3,0 DH","3,0 DH"
Total Pedidos Mayorista · diagnóstico por subprocesos,3. Saldos puros Pedidos Mayorista,2. Operaciones · SLA total 4 DH,Facturación → Despacho,1,"100,0%","100,0%",1 DH,"0,0 DH","0,0 DH"
